datetime_col,REGDN,REGUP,RRS,NSPIN,ECRS
2022-01-01 01:00:00,6.0,5.65,5.65,1.0,
2022-01-01 02:00:00,5.0,4.25,3.85,1.05,
2022-01-01 03:00:00,5.0,4.25,2.65,1.1,
2022-01-01 04:00:00,6.65,5.15,2.65,1.0,
2022-01-01 05:00:00,8.0,7.6,3.75,1.0,
2022-01-01 06:00:00,10.0,20.2,7.5,1.0,
2022-01-01 07:00:00,11.0,65.5,7.5,2.2,
2022-01-01 08:00:00,11.0,11.7,7.5,2.42,
2022-01-01 09:00:00,43.0,10.15,7.5,2.28,
2022-01-01 10:00:00,43.0,11.7,7.5,2.28,
2022-01-01 11:00:00,27.69,10.15,7.5,2.0,
2022-01-01 12:00:00,12.0,11.0,7.5,2.1,
2022-01-01 13:00:00,12.11,8.0,7.5,2.1,
2022-01-01 14:00:00,12.0,7.9,7.5,2.2,
2022-01-01 15:00:00,12.0,8.1,7.5,2.95,
2022-01-01 16:00:00,10.35,10.35,7.5,3.0,
2022-01-01 17:00:00,10.65,11.15,9.15,4.02,
2022-01-01 18:00:00,15.0,30.35,20.15,4.45,
2022-01-01 19:00:00,9.15,10.15,10.15,2.7,
2022-01-01 20:00:00,7.93,4.0,6.63,3.0,
2022-01-01 21:00:00,6.45,4.25,3.95,2.7,
2022-01-01 22:00:00,6.0,3.95,3.75,2.28,
2022-01-01 23:00:00,5.56,3.0,2.65,1.58,
2022-01-02 00:00:00,5.0,3.02,2.65,1.35,
2022-01-02 01:00:00,3.5,3.21,3.12,1.05,
2022-01-02 02:00:00,3.5,3.14,3.0,1.0,
2022-01-02 03:00:00,3.01,2.87,2.47,1.0,
2022-01-02 04:00:00,2.25,2.71,2.15,1.0,
2022-01-02 05:00:00,1.5,3.5,2.82,1.0,
2022-01-02 06:00:00,5.0,5.5,5.0,1.0,
2022-01-02 07:00:00,4.02,11.61,8.86,2.1,
2022-01-02 08:00:00,2.74,12.89,12.5,2.35,
2022-01-02 09:00:00,8.0,12.5,12.5,2.95,
2022-01-02 10:00:00,8.0,11.59,11.49,2.42,
2022-01-02 11:00:00,8.0,11.35,11.35,2.0,
2022-01-02 12:00:00,5.0,9.82,9.72,2.0,
2022-01-02 13:00:00,4.91,6.41,6.31,2.8,
2022-01-02 14:00:00,3.5,4.6,4.5,2.8,
2022-01-02 15:00:00,4.39,4.89,4.5,4.42,
2022-01-02 16:00:00,3.5,7.98,4.5,5.33,
2022-01-02 17:00:00,1.93,10.97,7.97,9.97,
2022-01-02 18:00:00,5.37,62.95,55.42,59.73,
2022-01-02 19:00:00,5.06,60.15,60.15,61.79,
2022-01-02 20:00:00,4.19,31.2,35.2,39.99,
2022-01-02 21:00:00,3.63,28.15,28.58,33.37,
2022-01-02 22:00:00,5.0,15.27,16.47,18.3,
2022-01-02 23:00:00,4.04,5.04,5.04,4.99,
2022-01-03 00:00:00,4.19,5.19,5.19,3.14,
2022-01-03 01:00:00,1.36,3.15,3.18,1.85,
2022-01-03 02:00:00,0.01,3.15,3.11,1.55,
2022-01-03 03:00:00,0.01,3.15,2.79,1.7,
2022-01-03 04:00:00,0.01,3.11,2.2,1.7,
2022-01-03 05:00:00,0.01,4.22,3.72,1.7,
2022-01-03 06:00:00,3.5,10.39,10.0,9.19,
2022-01-03 07:00:00,6.93,83.5,67.44,86.15,
2022-01-03 08:00:00,3.69,78.32,74.15,91.39,
