datetime_col,HB_BUSAVG,HB_HOUSTON,HB_HUBAVG,HB_NORTH,HB_PAN,HB_SOUTH,HB_WEST,LZ_AEN,LZ_CPS,LZ_HOUSTON,LZ_LCRA,LZ_NORTH,LZ_RAYBN,LZ_SOUTH,LZ_WEST
2022-01-01 01:00:00,32.72,33.2,32.69,33.41,31.28,30.17,33.97,33.61,34.16,33.24,33.73,33.37,33.35,28.81,34.72
2022-01-01 02:00:00,24.61,25.65,24.62,25.22,23.03,22.08,25.52,25.23,25.64,25.9,25.32,25.21,25.21,21.17,26.25
2022-01-01 03:00:00,22.26,23.01,22.2,22.91,21.19,19.97,22.91,22.92,23.31,23.13,22.97,22.92,22.94,19.32,23.4
2022-01-01 04:00:00,17.59,18.56,17.25,18.41,15.6,15.9,16.13,18.21,18.42,18.57,18.18,18.89,18.99,15.43,16.61
2022-01-01 05:00:00,11.29,12.74,10.76,12.19,7.8,10.0,8.13,11.81,11.88,12.78,11.72,13.02,13.2,9.57,8.77
2022-01-01 06:00:00,13.94,15.62,13.28,14.92,9.29,12.93,9.66,14.45,14.46,15.66,14.33,15.87,16.18,12.64,10.41
2022-01-01 07:00:00,14.38,17.11,13.04,16.0,5.53,13.76,5.3,14.79,14.44,17.12,14.51,17.51,18.44,13.45,6.51
2022-01-01 08:00:00,15.36,18.78,13.94,17.0,5.36,14.88,5.08,15.49,14.92,18.97,15.15,18.47,19.71,14.76,6.36
2022-01-01 09:00:00,15.67,19.87,14.03,17.39,3.73,15.74,3.12,16.16,15.36,19.97,15.69,19.77,20.85,15.93,4.65
2022-01-01 10:00:00,16.48,21.38,14.4,18.63,1.16,16.83,0.75,17.12,16.57,21.76,16.61,20.13,21.66,17.41,2.1
2022-01-01 11:00:00,18.56,24.05,16.13,20.86,0.22,19.87,-0.28,19.3,20.71,24.45,18.73,22.34,24.12,20.12,1.08
2022-01-01 12:00:00,21.84,27.21,18.98,24.44,0.7,24.03,0.24,22.11,26.69,27.35,21.42,25.56,28.55,24.27,1.87
2022-01-01 13:00:00,22.67,28.3,19.76,25.02,0.46,26.02,-0.28,23.18,30.01,28.4,22.42,26.32,29.19,26.68,1.05
2022-01-01 14:00:00,23.74,29.71,20.81,25.88,0.67,27.94,-0.28,24.3,33.06,29.82,23.44,27.38,30.11,29.04,0.96
2022-01-01 15:00:00,23.78,29.94,21.09,25.28,0.91,29.42,-0.29,24.25,35.86,30.08,23.41,26.79,29.14,32.76,0.65
2022-01-01 16:00:00,22.4,28.37,19.96,23.59,1.09,28.08,-0.2,22.84,34.62,28.49,21.97,25.23,27.35,31.62,0.66
2022-01-01 17:00:00,28.31,33.0,26.6,29.0,12.72,32.78,11.61,28.5,37.9,33.1,27.82,30.39,32.12,36.0,12.26
2022-01-01 18:00:00,40.95,43.67,39.8,41.49,30.85,43.72,30.33,41.52,45.28,43.65,41.19,43.2,43.91,46.26,31.12
2022-01-01 19:00:00,28.27,30.21,27.37,29.11,21.57,28.79,21.38,28.66,28.48,30.16,28.37,30.45,30.86,29.04,22.15
2022-01-01 20:00:00,25.09,27.31,24.03,26.11,17.43,25.55,17.16,25.51,25.11,27.25,25.2,27.64,28.17,25.62,18.07
2022-01-01 21:00:00,22.26,24.8,21.11,23.36,13.89,22.79,13.5,22.77,22.27,24.75,22.4,25.07,25.6,22.9,14.48
2022-01-01 22:00:00,21.91,25.04,20.49,23.29,11.71,22.47,11.16,22.46,21.85,25.0,22.03,25.42,26.17,22.59,12.42
2022-01-01 23:00:00,23.41,25.65,22.41,24.38,16.21,23.8,15.81,23.75,23.39,25.64,23.46,25.91,26.38,23.88,16.68
2022-01-02 00:00:00,22.89,25.18,21.98,23.79,16.18,23.15,15.81,23.15,22.78,25.24,22.87,25.31,25.67,23.22,16.61
2022-01-02 01:00:00,26.27,27.1,25.9,26.63,23.89,26.43,23.46,26.42,26.26,27.1,26.31,27.3,28.63,26.65,24.75
2022-01-02 02:00:00,24.47,25.22,24.14,24.79,22.28,24.59,21.96,24.59,24.45,25.22,24.5,25.39,26.8,24.69,23.07
2022-01-02 03:00:00,23.61,24.16,23.4,23.85,22.18,23.67,21.93,23.71,23.64,24.17,23.66,24.32,27.9,23.65,23.03
2022-01-02 04:00:00,22.17,22.67,21.84,22.81,20.72,21.37,20.51,22.6,22.92,22.63,22.59,23.28,24.81,20.31,21.79
2022-01-02 05:00:00,22.4,23.24,21.89,23.59,20.73,20.29,20.43,23.33,24.33,23.18,23.31,24.17,24.86,18.59,22.22
2022-01-02 06:00:00,24.61,25.33,24.19,25.76,23.3,22.24,23.43,25.53,26.66,25.28,25.53,26.29,26.32,20.54,24.55
2022-01-02 07:00:00,28.89,29.83,28.51,30.29,28.39,25.32,28.62,30.55,31.27,29.83,30.91,30.94,31.34,24.22,30.61
2022-01-02 08:00:00,36.03,37.26,35.53,38.11,35.93,30.75,36.0,42.92,35.05,37.23,44.55,39.34,57.54,29.65,38.1
2022-01-02 09:00:00,43.76,43.09,43.0,46.77,45.83,36.24,45.88,48.44,43.77,43.16,50.55,47.48,59.46,34.77,46.28
2022-01-02 10:00:00,35.91,36.6,35.58,37.65,37.38,30.71,37.36,41.13,35.25,36.77,43.33,38.33,39.57,30.91,37.38
2022-01-02 11:00:00,34.05,34.77,33.85,35.47,35.63,29.54,35.61,38.25,34.07,34.95,39.54,36.68,37.23,29.15,35.58
2022-01-02 12:00:00,33.23,32.75,32.78,35.0,34.68,28.66,34.71,36.91,32.49,32.89,38.66,35.87,35.41,29.4,34.65
2022-01-02 13:00:00,30.03,29.58,29.71,31.33,31.06,26.78,31.15,31.24,31.12,29.73,31.71,31.98,31.52,26.54,31.16
2022-01-02 14:00:00,26.57,26.65,26.43,27.45,27.45,24.02,27.59,27.65,28.2,26.8,27.81,27.85,27.38,23.86,27.71
2022-01-02 15:00:00,25.6,25.68,25.5,26.33,26.36,23.46,26.51,26.34,26.68,25.82,26.36,26.8,26.28,23.86,26.63
2022-01-02 16:00:00,25.16,25.22,25.05,25.84,25.88,23.13,26.01,25.85,26.15,25.34,25.9,26.27,25.8,23.04,26.12
2022-01-02 17:00:00,30.42,30.4,30.23,31.4,31.31,27.69,31.41,32.17,31.41,30.48,32.86,31.65,31.4,26.25,31.46
2022-01-02 18:00:00,81.32,78.12,80.14,84.63,82.65,74.78,83.02,79.25,81.43,78.2,79.89,85.8,86.69,70.09,86.52
2022-01-02 19:00:00,94.9,91.17,93.66,98.07,96.05,89.05,96.35,92.8,93.96,91.26,93.62,99.58,100.32,84.57,99.86
2022-01-02 20:00:00,71.64,70.67,71.32,72.65,72.22,69.43,72.53,73.36,70.8,70.76,74.36,73.45,73.38,68.38,76.08
2022-01-02 21:00:00,61.89,61.36,61.81,62.24,62.17,61.11,62.53,62.91,62.18,61.47,63.32,63.14,64.24,60.82,66.53
2022-01-02 22:00:00,48.18,48.02,48.16,48.31,48.19,47.82,48.49,48.41,48.02,48.18,48.59,48.72,49.27,48.79,52.36
2022-01-02 23:00:00,39.2,39.24,39.2,39.26,39.17,38.94,39.36,39.24,39.0,39.37,39.39,39.31,39.26,39.71,41.95
2022-01-03 00:00:00,36.76,36.78,36.78,36.75,36.68,36.72,36.86,36.79,36.75,36.85,36.84,36.76,36.75,36.95,39.14
2022-01-03 01:00:00,31.0,30.84,31.0,31.01,30.99,31.04,31.12,31.2,31.18,30.88,31.19,31.02,31.0,31.16,32.53
2022-01-03 02:00:00,30.46,30.36,30.47,30.45,30.42,30.52,30.54,30.55,30.56,30.36,30.59,30.46,30.44,30.57,31.92
2022-01-03 03:00:00,30.05,29.95,30.05,30.03,30.01,30.09,30.12,30.14,30.14,29.96,30.17,30.05,30.03,30.15,31.4
2022-01-03 04:00:00,29.67,29.6,29.67,29.65,29.63,29.73,29.73,29.73,29.74,29.6,29.77,29.66,29.65,29.76,30.95
2022-01-03 05:00:00,30.93,30.5,30.89,31.03,31.05,30.85,31.16,31.55,31.37,30.48,31.35,31.08,31.03,31.17,32.58
2022-01-03 06:00:00,39.67,38.01,39.28,40.43,39.72,38.84,39.82,39.63,39.4,38.32,39.49,41.53,41.08,39.21,41.23
2022-01-03 07:00:00,95.15,91.4,94.32,96.58,95.31,93.91,95.4,95.56,95.65,92.43,96.37,98.68,99.21,94.12,97.51
2022-01-03 08:00:00,100.52,99.07,100.12,101.16,100.16,100.01,100.24,101.48,100.94,100.17,102.54,103.67,101.64,100.28,101.93
2022-01-03 09:00:00,47.34,47.58,47.26,47.62,47.2,46.56,47.27,47.85,50.56,48.41,47.81,48.89,49.96,47.36,47.36
2022-01-03 10:00:00,34.18,35.27,33.75,34.68,31.3,33.95,31.1,34.08,34.21,35.83,34.03,35.45,36.01,35.07,31.42
2022-01-03 11:00:00,29.11,29.96,28.85,29.38,27.23,29.01,27.06,29.06,28.86,30.49,28.91,29.68,29.88,31.51,27.18
2022-01-03 12:00:00,27.22,28.13,26.92,27.53,24.99,27.23,24.8,27.25,27.12,28.64,27.08,27.88,28.12,29.61,24.95
2022-01-03 13:00:00,26.59,27.08,26.42,26.67,25.14,26.95,24.99,26.63,26.88,27.45,26.54,26.88,27.01,29.22,24.97
2022-01-03 14:00:00,25.06,25.46,24.84,25.13,23.19,25.76,23.01,25.29,25.69,25.74,25.17,25.4,25.56,27.97,22.97
2022-01-03 15:00:00,24.18,24.6,23.95,24.17,22.04,25.24,21.78,24.59,25.19,24.81,24.42,24.46,24.61,27.46,21.62
2022-01-03 16:00:00,23.14,23.54,22.89,23.2,21.0,24.03,20.79,23.49,23.96,23.65,23.35,23.52,23.7,25.71,20.74
2022-01-03 17:00:00,26.69,26.77,26.45,26.79,24.27,27.4,24.83,26.91,27.26,26.86,26.88,27.11,27.28,29.05,25.17
2022-01-03 18:00:00,47.05,47.25,47.0,47.05,44.66,47.25,46.45,47.14,47.27,47.43,47.13,47.61,47.96,49.02,47.01
2022-01-03 19:00:00,35.06,36.0,34.74,35.37,30.97,35.16,32.42,35.2,35.38,36.13,35.1,36.47,37.16,36.16,33.43
2022-01-03 20:00:00,30.6,31.6,30.19,30.99,26.6,30.83,27.32,30.78,31.15,31.67,30.64,31.65,32.05,31.39,27.9
2022-01-03 21:00:00,29.6,32.08,28.32,30.81,19.89,30.37,20.03,30.21,31.24,32.09,29.8,32.22,33.03,30.97,20.95
2022-01-03 22:00:00,27.32,30.47,25.46,29.05,13.34,28.6,13.73,28.39,29.77,30.4,27.9,30.75,31.7,29.33,14.96
2022-01-03 23:00:00,25.59,28.49,24.08,27.02,14.34,26.47,14.34,26.28,27.74,28.41,25.83,28.92,29.84,27.08,15.51
2022-01-04 00:00:00,23.23,25.85,21.96,24.4,13.43,24.1,13.49,23.84,25.2,25.78,23.46,26.19,27.0,24.76,14.5
2022-01-04 01:00:00,17.02,20.46,14.56,19.48,-0.15,18.28,0.01,18.23,19.65,20.38,17.57,20.87,22.59,18.75,1.47
2022-01-04 02:00:00,15.93,19.12,13.66,18.15,-0.22,17.28,0.08,17.1,18.44,19.04,16.38,19.35,20.91,17.71,1.38
