datetime_col,HB_BUSAVG,HB_HOUSTON,HB_HUBAVG,HB_NORTH,HB_PAN,HB_SOUTH,HB_WEST,LZ_AEN,LZ_CPS,LZ_HOUSTON,LZ_LCRA,LZ_NORTH,LZ_RAYBN,LZ_SOUTH,LZ_WEST
2022-01-01 00:00:00,52.77,52.82,52.53,53.94,54.24,48.97,54.39,54.19,55.485,52.745000000000005,54.295,53.945,53.935,47.825,54.605000000000004
2022-01-01 00:15:00,120.8,118.99,119.59,125.73,126.86,106.25,127.4,129.235,137.95999999999998,118.50999999999999,127.97,125.85499999999999,125.70500000000001,77.83500000000001,127.685
2022-01-01 00:30:00,41.02,40.82,40.8,42.02,42.31,37.89,42.46,42.415,43.864999999999995,40.74,42.445,42.08,42.035,34.415,42.65
2022-01-01 00:45:00,35.0,34.91,34.84,35.75,35.98,32.6,36.11,35.92,36.9,34.85,36.03,35.754999999999995,35.745000000000005,30.94,36.295
2022-01-01 01:00:00,32.1,32.04,31.94,32.87,33.1,29.64,33.22,33.04,34.0,31.98,33.135000000000005,32.88,32.87,28.69,33.4
2022-01-01 01:15:00,30.9,30.84,30.75,31.65,31.88,28.49,32.0,31.82,32.77,30.785,31.915,31.665,31.66,27.46,32.18
2022-01-01 01:30:00,33.25,33.16,33.09,33.97,34.2,30.92,34.33,34.135000000000005,35.1,33.1,34.24,33.985,33.97,29.13,34.51
2022-01-01 01:45:00,30.48,30.27,30.3,31.3,31.56,27.92,31.7,31.59,32.85,30.205,31.645,31.32,31.314999999999998,23.47,31.88
2022-01-01 02:00:00,28.98,28.89,28.79,29.91,30.2,26.0,30.35,30.09,31.34,28.82,30.235,29.935000000000002,29.92,21.525,30.58
2022-01-01 02:15:00,24.31,24.17,24.14,25.11,25.38,21.76,25.51,25.27,26.42,24.1,25.41,25.13,25.11,17.63,25.74
2022-01-01 02:30:00,22.88,22.81,22.73,23.62,23.85,20.54,23.96,23.74,24.744999999999997,22.75,23.87,23.63,23.62,17.08,24.15
2022-01-01 02:45:00,22.74,22.6,22.58,23.52,23.78,20.28,23.93,23.69,24.82,22.53,23.83,23.54,23.53,16.36,24.14
2022-01-01 03:00:00,22.75,22.85,22.62,23.39,23.49,20.63,23.59,23.43,24.14,22.82,23.55,23.4,23.39,18.16,23.72
2022-01-01 03:15:00,22.11,22.22,21.98,22.74,22.84,20.04,22.93,22.78,23.47,22.18,22.89,22.74,22.74,17.7,23.06
2022-01-01 03:30:00,21.63,21.83,21.49,22.31,22.38,19.36,22.47,22.33,23.0,21.79,22.45,22.32,22.31,17.1,22.6
2022-01-01 03:45:00,20.56,20.77,20.42,21.23,21.3,18.31,21.38,21.25,21.9,20.74,21.37,21.24,21.24,16.13,21.51
2022-01-01 04:00:00,8.21,8.23,8.13,8.58,8.66,7.0,8.72,8.595,9.09,8.2,8.7,8.585,8.585,5.505,8.805
2022-01-01 04:15:00,12.67,12.68,12.58,13.12,13.23,11.22,13.3,13.184999999999999,13.745000000000001,12.655000000000001,13.27,13.13,13.13,9.355,13.415
2022-01-01 04:30:00,19.75,19.96,19.63,20.4,20.49,17.58,20.57,20.435000000000002,21.07,19.93,20.55,20.4,20.41,15.51,20.69
2022-01-01 04:45:00,21.03,21.23,20.91,21.69,21.78,18.85,21.87,21.73,22.38,21.2,21.84,21.69,21.7,16.73,21.99
2022-01-01 05:00:00,21.46,21.73,21.34,22.15,22.29,19.12,22.37,22.23,22.9,21.7,22.35,22.15,22.14,16.97,22.5
2022-01-01 05:15:00,15.08,15.25,14.98,15.64,15.77,13.16,15.85,15.73,16.32,15.22,15.81,15.629999999999999,15.635000000000002,11.18,15.965
2022-01-01 05:30:00,2.17,2.49,2.15,2.37,2.37,1.36,2.37,2.37,2.37,2.49,2.4,2.37,2.37,1.38,2.37
2022-01-01 05:45:00,13.68,14.09,13.65,13.93,13.92,12.64,13.92,13.92,13.92,14.09,13.975000000000001,13.925,13.91,12.69,13.91
2022-01-01 06:00:00,7.29,7.65,7.27,7.52,7.51,6.38,7.51,7.52,7.505,7.66,7.55,7.545,7.505,6.455,7.515
2022-01-01 06:15:00,3.81,4.14,3.79,4.02,4.01,2.98,4.01,4.01,4.01,4.14,4.04,4.02,4.005,3.025,4.005
2022-01-01 06:30:00,14.4,14.81,14.37,14.66,14.65,13.35,14.65,14.655000000000001,14.65,14.82,14.7,14.675,14.66,13.385000000000002,14.655000000000001
2022-01-01 06:45:00,19.45,19.9,19.41,19.73,19.73,18.29,19.73,19.73,19.73,19.9,19.77,19.73,19.73,18.4,19.73
2022-01-01 07:00:00,19.4,19.85,19.37,19.69,19.68,18.24,19.68,19.68,19.69,19.86,19.72,19.69,19.68,18.07,19.68
2022-01-01 07:15:00,8.84,9.18,8.81,9.06,9.05,7.95,9.05,9.05,9.07,9.195,9.094999999999999,9.06,9.04,7.835,9.055
2022-01-01 07:30:00,1.78,1.97,1.76,1.9,1.9,1.28,1.9,1.9,1.9,1.97,1.915,1.9,1.9,1.18,1.9
2022-01-01 07:45:00,14.11,14.12,14.11,14.13,14.13,14.06,14.13,14.13,14.13,14.12,14.135000000000002,14.120000000000001,14.13,13.66,14.125
2022-01-01 08:00:00,20.12,20.36,20.03,20.59,20.64,18.52,20.67,20.68,20.87,20.35,20.68,20.59,20.59,24.15,20.7
2022-01-01 08:15:00,19.21,19.44,19.12,19.66,19.71,17.64,19.74,19.75,19.94,19.425,19.75,19.67,19.66,23.16,19.77
