Hour,Fuel,MW
2022-01-01 01:00:00,Biomass,22.297569
2022-01-01 01:00:00,Coal,10269.999131
2022-01-01 01:00:00,Gas,1116.244747
2022-01-01 01:00:00,Nuclear,5078.955677
2022-01-01 02:00:00,Biomass,22.300089
2022-01-01 02:00:00,Coal,9325.708329
2022-01-01 02:00:00,Gas,650.460698
2022-01-01 02:00:00,Nuclear,5079.156688
2022-01-01 03:00:00,Biomass,22.305187
2022-01-01 03:00:00,Coal,7668.04473
2022-01-01 03:00:00,Gas,505.352462
2022-01-01 03:00:00,Nuclear,5078.820585
2022-01-01 04:00:00,Biomass,22.326722
2022-01-01 04:00:00,Coal,5684.23804
2022-01-01 04:00:00,Gas,500.198928
2022-01-01 04:00:00,Nuclear,5080.621463
2022-01-01 05:00:00,Biomass,22.323275
2022-01-01 05:00:00,Coal,5631.913636
2022-01-01 05:00:00,Gas,480.627051
2022-01-01 05:00:00,Nuclear,5080.807277
2022-01-01 06:00:00,Biomass,22.447592
2022-01-01 06:00:00,Coal,5493.558401
2022-01-01 06:00:00,Gas,557.20425
2022-01-01 06:00:00,Nuclear,5082.057441999999
2022-01-01 07:00:00,Biomass,22.339175
2022-01-01 07:00:00,Coal,5640.512649
2022-01-01 07:00:00,Gas,605.420746
2022-01-01 07:00:00,Nuclear,5081.635491999999
2022-01-01 08:00:00,Biomass,34.622258
2022-01-01 08:00:00,Coal,5686.682317
2022-01-01 08:00:00,Gas,719.778765
2022-01-01 08:00:00,Nuclear,5082.304396
2022-01-01 09:00:00,Biomass,65.99233
2022-01-01 09:00:00,Coal,5543.184526
2022-01-01 09:00:00,Gas,728.136266
2022-01-01 09:00:00,Nuclear,5083.45776
2022-01-01 10:00:00,Biomass,70.945483
2022-01-01 10:00:00,Coal,5939.47413
2022-01-01 10:00:00,Gas,695.886623
2022-01-01 10:00:00,Nuclear,5083.428285
2022-01-01 11:00:00,Biomass,72.660645
2022-01-01 11:00:00,Coal,7381.561584
2022-01-01 11:00:00,Gas,743.759997
2022-01-01 11:00:00,Nuclear,5082.897741
2022-01-01 12:00:00,Biomass,72.923036
2022-01-01 12:00:00,Coal,8712.422035
2022-01-01 12:00:00,Gas,598.129826
