OperDay,HourEnding,COAST,EAST,FAR_WEST,NORTH,NORTH_C,SOUTHERN,SOUTH_C,WEST,TOTAL,DSTFlag
08/01/2024,01:00,15578.41,1987.93,7108.60,2000.96,17871.34,4330.20,9232.06,1473.76,59583.26,N
08/01/2024,02:00,14732.81,1862.08,7063.98,1912.21,16707.51,4168.57,8777.70,1421.05,56645.91,N
08/01/2024,03:00,14175.99,1774.91,7056.33,1857.47,15814.11,4027.26,8296.16,1344.14,54346.37,N
08/01/2024,04:00,13807.25,1728.44,6908.25,1805.33,15216.81,3893.70,7981.40,1284.11,52625.29,N
08/01/2024,05:00,13690.85,1705.23,6812.34,1758.14,14815.50,3822.12,7852.25,1273.48,51729.90,N
08/01/2024,06:00,13839.45,1736.61,6694.23,1755.44,14921.21,3885.13,7935.52,1285.99,52053.58,N
08/01/2024,07:00,14054.72,1784.27,6504.40,1771.37,15179.80,3928.39,8051.12,1300.88,52574.94,N
08/01/2024,08:00,14272.39,1736.61,6621.64,1799.65,15354.42,3933.27,8001.18,1311.02,53030.18,N
08/01/2024,09:00,15301.44,1744.47,7140.84,1907.00,16249.38,4231.12,8361.25,1385.97,56321.47,N
08/01/2024,10:00,16317.72,1825.58,7203.54,2101.02,17561.42,4581.42,8902.46,1495.67,59988.82,N
08/01/2024,11:00,17595.05,1973.47,7124.36,2237.92,18608.38,4894.01,9405.35,1541.93,63380.47,N
08/01/2024,12:00,18777.64,2113.44,7162.51,2384.15,20009.45,5135.85,10067.85,1627.93,67278.82,N
08/01/2024,13:00,19819.78,2245.69,7323.08,2507.27,21609.67,5402.03,10879.86,1697.64,71485.02,N
08/01/2024,14:00,20768.29,2371.79,7388.56,2621.73,22926.39,5750.68,11593.75,1770.01,75191.19,N
08/01/2024,15:00,21427.14,2697.81,7158.91,2529.66,24044.53,5980.62,12365.70,1868.81,78073.17,N
08/01/2024,16:00,21725.93,2851.20,6703.41,2342.27,24624.32,6049.66,12705.31,1936.77,78938.87,N
08/01/2024,17:00,21876.98,2900.43,6674.38,2380.58,25179.58,6054.04,13090.70,1976.97,80133.67,N
08/01/2024,18:00,21668.76,2802.23,6632.39,2358.77,25076.93,5996.68,13269.25,1961.07,79766.07,N
08/01/2024,19:00,21009.58,2750.78,6681.20,2384.03,24428.79,5906.32,13239.40,1951.79,78351.90,N
08/01/2024,20:00,20239.28,2701.17,7063.96,2373.28,23392.15,5778.31,12852.11,1891.84,76292.11,N
08/01/2024,21:00,19573.30,2611.79,7212.86,2421.84,22182.74,5611.55,12263.33,1796.06,73673.46,N
08/01/2024,22:00,18914.26,2480.54,7230.97,2349.84,21148.59,5453.52,11819.36,1749.33,71146.42,N
08/01/2024,23:00,17883.77,2293.84,7201.61,2256.96,19771.71,5253.51,11025.53,1620.01,67306.93,N
08/01/2024,24:00,16858.93,2153.12,7133.63,2107.27,18246.15,4824.11,10331.83,1493.82,63148.86,N
