OperDay,HourEnding,COAST,EAST,FAR_WEST,NORTH,NORTH_C,SOUTHERN,SOUTH_C,WEST,TOTAL,DSTFlag
02/19/2024,01:00,11204.45,1929.45,6474.06,1530.42,13193.24,3366.22,7649.36,1340.56,46687.75,N
02/19/2024,02:00,11131.59,1951.42,6303.04,1532.71,13052.09,3382.04,7588.00,1399.27,46340.16,N
02/19/2024,03:00,11158.16,1986.70,6327.82,1543.01,13166.93,3344.25,7672.85,1390.90,46590.62,N
02/19/2024,04:00,11321.05,2036.40,6358.24,1560.56,13432.93,3381.36,7828.12,1435.10,47353.76,N
02/19/2024,05:00,11650.74,2146.86,6329.87,1603.27,13946.54,3490.96,8140.81,1558.61,48867.66,N
02/19/2024,06:00,12306.55,2293.63,6341.78,1690.44,14851.33,3740.60,8638.87,1658.21,51521.41,N
02/19/2024,07:00,13069.73,2446.65,6314.26,1783.03,16029.06,4096.63,9318.22,1795.34,54852.92,N
02/19/2024,08:00,13381.75,2519.39,6136.79,1703.53,16539.04,4335.10,9657.59,1899.22,56172.41,N
02/19/2024,09:00,13128.81,2366.27,6263.42,1598.11,16077.68,4107.35,9214.39,1847.49,54603.52,N
02/19/2024,10:00,12687.73,2188.04,6135.99,1479.21,15145.20,3818.38,8529.12,1674.14,51657.80,N
02/19/2024,11:00,12301.33,1994.11,6070.66,1429.14,14416.49,3548.17,7885.29,1500.57,49145.75,N
02/19/2024,12:00,11964.76,1890.08,6069.36,1342.80,13595.98,3353.55,7440.06,1402.10,47058.69,N
02/19/2024,13:00,11609.72,1785.92,6150.61,1266.15,12849.48,3126.50,7056.13,1204.83,45049.34,N
02/19/2024,14:00,11438.67,1687.66,6334.88,1232.81,12315.31,3102.19,6799.25,1083.05,43993.83,N
02/19/2024,15:00,11267.49,1613.19,6569.25,1233.83,11935.16,3141.89,6654.59,1063.64,43479.04,N
02/19/2024,16:00,11214.34,1562.19,6471.34,1250.82,11767.89,3158.54,6677.66,1060.61,43163.39,N
02/19/2024,17:00,11230.37,1560.96,6366.19,1261.47,11763.54,3193.40,6837.73,1090.17,43303.83,N
02/19/2024,18:00,11317.85,1655.71,6258.63,1326.08,11965.38,3247.00,7075.35,1141.40,43987.39,N
02/19/2024,19:00,11576.59,1733.38,5953.98,1398.26,12609.45,3365.80,7420.43,1257.85,45315.74,N
02/19/2024,20:00,11722.01,1816.58,6316.65,1609.36,12979.60,3530.69,7694.47,1315.55,46984.92,N
02/19/2024,21:00,11675.35,1814.11,6411.08,1589.48,12790.05,3594.18,7604.24,1298.89,46777.37,N
02/19/2024,22:00,11462.20,1775.95,6372.15,1553.86,12364.90,3520.98,7324.78,1220.13,45594.95,N
02/19/2024,23:00,11051.58,1696.19,6386.32,1475.45,11813.13,3383.17,6931.10,1134.40,43871.34,N
02/19/2024,24:00,10559.34,1603.40,6477.81,1413.60,11100.29,3180.91,6570.24,1044.85,41950.44,N
