SCED Time  Stamp,Repeated Hour  Flag,SUM  BASE POINT NON-IRR,SUM  HASL NON-IRR,SUM  LASL NON-IRR,SUM  BASE POINT WGR,SUM   HASL  WGR,SUM  LASL WGR,SUM  BASE POINT PVGR,SUM   HASL  PVGR,SUM  LASL PVGR,SUM  BASE POINT REMAINING RESOURCES,SUM  HASL REMAINING RESOURCES,SUM  LASL REMAINING RESOURCES,SUM  GEN  TELEM  MW
04/15/2025 00:00:13,N,24741.44964245,33060.34464335,15101.40195417,21016.43161547,21178.23665392,.1,.63173936,.63176936,.18607671,2923.68929589,6483.43383023,1335,49449.60088
04/15/2025 00:15:12,N,23151.5928503,32302.07236061,14677.74842071,21267.19892805,21390.06783026,.1,.51789596,.53179385,.29053295,3002.81988327,6304.4231176,1336,47823.25274
04/15/2025 00:30:11,N,22098.33925823,31937.00416872,14407.23416137,21463.74618005,21601.73038721,.1,.51650728,.51758369,.29140383,2997.42924999,6420.65992161,1339,46981.36616
04/15/2025 00:45:13,N,21807.77519626,31063.15549967,14076.20643615,21654.94564771,21757.70163679,.1,.51259726,.51742637,.28006982,3103.80802271,6519.19955831,1340,46556.6438
04/15/2025 01:00:14,N,21322.91753918,30621.97953352,14027.86935806,21602.87793938,21751.82200448,.1,.50582112,.5069204,.2811391,3232.40504223,7153.64798933,1487.65464782,46270.77701
04/15/2025 01:15:12,N,20781.40377601,30359.91763529,13119.08415985,21639.59775471,21772.30763554,.1,.51523864,.51858033,.28338151,3354.1145581,6978.33960109,1492.65464782,45844.9483
04/15/2025 01:30:12,N,20937.4864752,30365.75431427,13106.96383666,20993.15694034,21091.58701312,.1,.60596099,.6089604,.28006982,3343.75322104,7045.60943561,1503.95465087,45194.25425
04/15/2025 01:45:12,N,20359.79408522,30398.07449207,13106.80039978,21241.26656544,21331.07156956,.1,.5086991,.51777197,.28911269,3191.38304304,7109.77813154,1504.95620727,45031.01017
04/15/2025 02:00:13,N,20198.15404327,30494.83064017,13346.20629119,21168.3994801,21248.80881237,.1,.41590307,.42605117,.18538683,3077.93204891,7097.0730887,1347.90000009,44345.94792
04/15/2025 02:15:11,N,20003.43207018,30679.22998032,13167.2696228,21165.74951171,21255.3881607,.1,.42312234,.43100163,.18464013,2952.11096726,6616.75897571,1345.90000009,44185.15514
04/15/2025 02:30:11,N,20060.11668139,30786.47926697,13172.52568817,20935.8073616,20992.54492187,.1,.40443282,.41938973,.18133666,2957.49545372,6830.57716286,1349.90000009,44085.61401
04/15/2025 02:45:11,N,19852.12371287,30784.61521348,13172.98606872,20687.96392619,20695.63397395,.33388528,.41932501,.42886112,.18629695,2964.97981591,7138.66414553,1349.90000009,43503.92218
04/15/2025 03:00:15,N,20703.54723478,31044.01867041,13101.83548736,19703.42919528,19720.09064853,.1,.49869107,.50467375,.18274352,2938.05228482,6704.40285521,1349.90000009,43023.17879
04/15/2025 03:15:11,N,20337.65152859,30505.32953802,13102.97655487,19774.69421106,19878.71137338,.1,.46319517,.47974652,.18431219,2981.00431433,6639.38928347,1349.90000009,43188.42493
04/15/2025 03:30:11,N,20263.99834085,30527.71503043,13106.31967926,19907.49312847,20038.56150692,.1,.52360967,.53294774,.18281678,2936.47828011,6704.13656455,1350.90000009,43136.49813
04/15/2025 03:45:13,N,20359.93038927,30527.60515448,13116.19894409,19388.91321468,19464.8904767,.1,.52169364,.53133588,.18398795,2953.28825926,6712.87971478,1349.90000009,42621.60176
04/15/2025 04:00:15,N,20497.10479005,30254.61418839,13123.64565277,18662.16285017,18852.41556623,.1,.41043506,.41872409,.18186066,2976.76758855,7133.04767018,1349.90000009,42154.04178
04/15/2025 04:15:12,N,20747.95275748,30186.05283781,13103.78084564,18451.15175803,18587.87443239,.1,.41589342,.42065811,.18152554,2953.2156415,7376.68552523,1349.90000009,42172.0723
