SCED Time  Stamp,Repeated Hour  Flag,SUM  BASE POINT NON-WGR,SUM  HASL NON-WGR,SUM  LASL NON-WGR,SUM  BASE POINT WGR,SUM  HASL  WGR,SUM  LASL  WGR,SUM  BASE POINT REMAINING RESOURCES,SUM  HASL REMAINING RESOURCES,SUM  LASL REMAINING RESOURCES,SUM  GEN  TELEM  MW
04/15/2025 00:00:13,N,6559.23235873,8040.90248346,4508.73886871,194.99686431,194.99686431,0,259.49127052,907.00399398,316,7127.26989
04/15/2025 00:15:12,N,6294.90570745,7972.17752605,4446.16367345,169.84461975,169.84461975,0,275.93705069,908.00399398,317,6914.22696
04/15/2025 00:30:11,N,5923.61554563,7972.53116941,4411.89587402,126.88952255,126.88952255,0,270.64773019,909.00399398,318,6483.30577
04/15/2025 00:45:13,N,5791.44773025,7973.78355743,4412.44571685,93.01654815,93.01654815,0,276.35159757,992.60399055,319,6289.09743
04/15/2025 01:00:14,N,5749.80200726,7882.30417128,4457.44928475,50.81064414,50.81064414,0,263.35732746,1142.00399494,319,6114.10143
04/15/2025 01:15:12,N,5545.19111426,7782.81651401,3744.33254241,43.79147338,43.79147338,0,267.56355949,1140.00399494,317,6003.11374
04/15/2025 01:30:12,N,5502.52391893,7784.28490923,3744.0513916,25.12983179,25.12983179,0,275.84283797,1140.00399494,317,5919.84052
04/15/2025 01:45:12,N,5309.17402144,7782.74124145,3743.16213989,22.92196369,22.92196369,0,263.49005222,1141.25399494,317,5761.56281
04/15/2025 02:00:13,N,5162.51907628,7814.56086306,3742.54486846,20.17588901,20.17588901,0,281.0170232,1200.00400018,319,5572.16409
04/15/2025 02:15:11,N,4979.07531224,7867.68658,3745.48866349,20.80057048,20.80057048,0,263.30980388,996.75000286,317,5406.44553
04/15/2025 02:30:11,N,4865.22789188,7917.48059313,3745.80361835,14.35261583,14.35261583,0,265.24547714,1000.75000286,321,5251.40353
04/15/2025 02:45:11,N,4813.3534053,7946.68557869,3746.26986776,10.96230983,10.96230983,0,273.15094883,1204.50400066,321,5127.78226
04/15/2025 03:00:15,N,5008.79630017,7785.02090656,3747.43109333,16.28402042,16.28402042,0,265.93638945,1146.65000104,321,5218.93571
04/15/2025 03:15:11,N,4895.59916984,7824.1862974,3748.74622248,12.16346335,12.16346335,0,270.21812408,1146.65000104,321,5244.32221
04/15/2025 03:30:11,N,4863.90852595,7825.62860673,3749.171737,4.14668673,4.14668673,0,270.70394794,1147.65000104,322,5164.12355
04/15/2025 03:45:13,N,4884.2482673,7825.19065578,3761.71594873,9.31139945,9.31139945,0,266.58207853,1146.65000104,321,5157.76888
04/15/2025 04:00:15,N,4849.24634894,7945.80370747,3764.88287769,16.92957806,16.92957806,0,270.00076227,1102.75000238,321,5238.40643
04/15/2025 04:15:12,N,4974.35673511,7943.8378596,3764.35937973,27.90841102,27.90841102,0,270.31365014,1268.70399713,324,5317.52947
04/15/2025 04:30:13,N,4968.26255376,7946.91019251,3765.03024797,38.91853141,38.91853141,0,266.05289429,1267.70399713,323,5271.82073
04/15/2025 04:45:10,N,4949.51046471,7946.00393655,3766.0949619,51.77536106,51.77536106,0,265.79187715,1265.70399713,321,5229.62965
04/15/2025 05:00:11,N,5123.28108355,7630.18074705,3807.99486347,60.90578079,60.90578079,0,270.05805559,1581.40399646,322,5548.76374
04/15/2025 05:15:11,N,5668.35173869,7614.47227295,3767.28377356,53.30947971,53.30947971,0,265.1545332,1578.40399646,319,5851.08567
