SCED Time  Stamp,Repeated Hour  Flag,SUM  BASE POINT NON-WGR,SUM  HASL NON-WGR,SUM  LASL NON-WGR,SUM  BASE POINT WGR,SUM  HASL  WGR,SUM  LASL  WGR,SUM  BASE POINT REMAINING RESOURCES,SUM  HASL REMAINING RESOURCES,SUM  LASL REMAINING RESOURCES,SUM  GEN  TELEM  MW
04/15/2025 00:00:13,N,10526.86709763,13192.19521,5716.13462829,2365.38033533,2365.38033533,0,3.13967643,1194.66755485,0,13169.81725
04/15/2025 00:15:12,N,9813.35067169,13202.16345951,5717.13618469,2644.98381304,2644.98381304,0,1.8742443,1183.76780128,0,12631.38884
04/15/2025 00:30:11,N,9597.49042681,12915.81469191,5587.13618469,2514.90085744,2514.90085744,0,1.86165752,1193.77458572,0,12107.95688
04/15/2025 00:45:13,N,9523.64698139,12918.49064537,5585.3346405,2587.73570442,2587.73570442,0,1.85816091,1193.89718627,0,12102.62174
04/15/2025 01:00:14,N,9149.49912249,12726.47054025,5481.27996826,2800.2311816,2800.2311816,0,271.80692029,1418.19187355,147.65464782,12233.46621
04/15/2025 01:15:12,N,9033.41660581,12705.51264234,5450.23832153,2790.73793315,2790.73793315,0,271.81306797,1422.23996353,147.65464782,12081.43832
04/15/2025 01:30:12,N,9030.99551156,12712.90987994,5436.67771911,2889.74229526,2889.74229526,0,254.90639935,1421.2263298,158.95465087,12120.75765
04/15/2025 01:45:12,N,9028.57785192,12745.11122331,5436.02381905,2874.93635177,2874.93635177,0,249.37255322,1394.15640258,159.95620727,12081.30173
04/15/2025 02:00:13,N,9328.1845873,12945.51110972,5675.53964159,2959.33334827,2959.33334827,0,1.84903001,1068.18476104,0,12193.01056
04/15/2025 02:15:11,N,9328.19052483,13021.35148441,5674.83460998,2973.78938388,2973.78938388,0,1.89546319,1002.64667129,0,12248.74026
04/15/2025 02:30:11,N,9328.03948058,13017.82433138,5676.43621826,2834.81366491,2834.81366491,0,1.81993997,1065.86089783,0,12173.96698
04/15/2025 02:45:11,N,9303.30345724,12992.96485932,5657.73616027,2884.60553503,2884.60553503,0,1.80537638,1066.90850806,0,12254.79795
04/15/2025 03:00:15,N,9347.46694501,13043.57517927,5604.73619079,2721.15058898,2721.15058898,0,1.89578556,1051.4251976,0,12122.65775
04/15/2025 03:15:11,N,9335.47876661,12965.19404723,5604.936203,2732.08206939,2732.08206939,0,28.96788579,990.51300621,0,12020.2647
04/15/2025 03:30:11,N,9335.31318782,12969.9289261,5606.03147852,2641.41188764,2641.41188764,0,1.91991667,1055.8518753,0,12080.65148
04/15/2025 03:45:13,N,9336.32164989,12969.16188182,5605.83265336,2627.15963745,2627.15963745,0,1.91363961,1055.63867568,0,11989.78944
04/15/2025 04:00:15,N,9466.02959842,12940.81315985,5609.43087768,2628.22250938,2628.22250938,0,1.9123797,1109.95489788,0,11958.62789
04/15/2025 04:15:12,N,9512.1104352,12887.6538004,5589.70266723,2531.42837715,2531.42837715,0,1.98785288,1104.27287578,0,12018.55796
04/15/2025 04:30:13,N,9522.03058623,12896.38537786,5608.53339411,2550.8108015,2550.8108015,0,1.91589322,1103.54119418,0,12085.71679
04/15/2025 04:45:10,N,9524.30228807,12990.6733858,5608.13088989,2530.43953752,2530.43953752,0,1.94285159,1103.85285416,0,12066.7148
04/15/2025 05:00:11,N,9639.39358026,12891.9207187,5554.62561035,2533.7164154,2533.7164154,0,91.90837546,1314.60135522,0,12197.57042
04/15/2025 05:15:11,N,9777.73433725,12920.62175904,5555.62745216,2390.39884948,2390.39884948,0,91.96982411,1302.19696106,0,12219.40372
04/15/2025 05:30:11,N,10525.4840358,12912.35714325,5555.62557983,2221.57236814,2221.57236814,0,128.76880243,1296.87339055,0,12644.14227
04/15/2025 05:45:10,N,10688.73181142,12928.14059376,5555.62557983,2269.27554035,2269.27554035,0,92.16952755,1297.31755546,0,12957.59475
04/15/2025 06:00:16,N,10889.74562153,12552.1823516,5558.0269507,2252.27530431,2252.27530431,0,96.68553864,1698.15308269,0,13346.19296
04/15/2025 06:15:10,N,11490.14630028,12538.67512827,5558.02557373,2274.41407394,2274.41407394,0,271.095755,1725.06805521,0,13810.8833
04/15/2025 06:30:11,N,11773.09799345,12564.81540436,5558.02557373,2259.38476157,2259.38476157,0,433.41571812,1720.52219014,0,14308.26306
04/15/2025 06:45:11,N,11863.52725429,12600.49280023,5558.02557373,2105.72649431,2105.72649431,0,452.1222826,1711.85084955,0,14360.57324
04/15/2025 07:00:13,N,11759.58689983,12756.57853552,5599.22712707,2059.7735629,2059.7735629,0,625.8135076,1687.11637853,0,14324.7536
04/15/2025 07:15:10,N,12012.62998547,12882.50599278,5583.22712707,1999.10249543,1999.10249543,0,786.05711506,1753.95721219,0,14670.64594
04/15/2025 07:30:10,N,12175.74345196,13285.69312682,5583.27140375,1935.05447292,1935.05447292,0,732.19148391,1776.18698643,0,15051.90588
04/15/2025 07:45:11,N,12736.49263498,13996.54956827,5584.22869873,1789.30831557,1789.30831557,0,447.95904092,1744.49167998,0,15211.05113
04/15/2025 08:00:14,N,12828.86965874,14767.6041982,5597.42871093,1855.56851875,1855.56851875,0,134.36571656,1075.21356517,0,15416.80683
04/15/2025 08:15:10,N,13114.57616718,15593.13167798,5597.42871093,1786.83725002,1786.83725002,0,213.33212915,843.73012754,.00991551,15275.59415
04/15/2025 08:30:11,N,13292.62513616,16518.45773743,5436.64479064,1739.45334839,1739.45334839,0,25.42476711,977.12130318,.04135272,15402.88434
04/15/2025 08:45:10,N,13088.75092559,16061.95747828,4844.77998352,1653.66253885,1653.66253885,0,19.18804225,1125.43803341,.01908095,14990.31265
04/15/2025 09:00:13,N,13001.75874852,16471.24440478,4812.33999633,1592.01706405,1592.01706405,0,518.70725394,1612.60580971,0,15386.76256
04/15/2025 09:15:10,N,12675.11277673,16937.77784632,4492.1000061,1575.72194732,1575.72194732,.14999999,417.33991126,1342.3445872,0,15086.69632
04/15/2025 09:30:11,N,12736.9219548,15598.82056117,3730.1000061,1651.39545142,1651.39545142,0,493.72327321,1622.25131565,0,14722.12264
04/15/2025 09:45:10,N,12389.11513805,15697.89054536,3728.50001525,1714.56087303,1714.56087303,0,549.59809139,1676.21192628,0,14883.08678
04/15/2025 10:00:14,N,12987.95635399,16845.6348494,3727.41960272,1847.02645277,1847.02645277,0,55.35166007,1153.60959213,0,15135.49803
04/15/2025 10:15:12,N,13580.56078671,17658.13233995,3727.39999389,1937.05244135,1937.05244135,0,156.49540424,1226.21379446,0,15924.74627
04/15/2025 10:30:12,N,13364.299237,17768.49176406,3705.39999389,1901.55661416,1901.55661416,0,159.49748736,1302.50214433,0,15665.2202
04/15/2025 10:45:11,N,13652.4635294,17954.52736758,3705.39999389,1936.53682112,1936.53682112,0,187.51096022,1298.35243773,0,15812.18282
04/15/2025 11:00:18,N,13957.3867154,18646.16503142,3702.69999694,1897.98267722,1897.98267722,0,159.81120401,1297.57977652,0,16154.7292
04/15/2025 11:15:12,N,14565.76784127,18900.59636878,3701.69999694,1917.57206058,1917.57206058,0,96.31332741,1118.10940527,0,16261.89266
04/15/2025 11:30:11,N,14348.92702674,18929.36542319,3701.69999694,1778.18048262,1837.86995363,0,167.84998195,1248.78898596,0,16355.07372
04/15/2025 11:45:13,N,14695.33345221,19193.93975257,3701.40000915,1712.40109395,1748.29831075,0,162.01617316,1244.76304602,0,16390.68473
04/15/2025 12:00:19,N,15228.55363928,19258.77962969,3701.19999694,1620.83341121,1644.55980587,0,188.04034641,1268.55982971,0,16803.93743
04/15/2025 12:15:13,N,15255.61542406,19476.00862026,3701.19999694,1585.92268562,1643.80172872,0,182.57154039,1167.11121082,0,16979.17544
04/15/2025 12:30:11,N,15555.41165625,19410.46981334,3700,1553.35348629,1584.43483591,0,158.35175069,1234.63753414,0,17171.78094
