SCED Time  Stamp,Repeated Hour  Flag,SUM  BASE POINT NON-WGR,SUM  HASL NON-WGR,SUM  LASL NON-WGR,SUM  BASE POINT WGR,SUM  HASL  WGR,SUM  LASL  WGR,SUM  BASE POINT REMAINING RESOURCES,SUM  HASL REMAINING RESOURCES,SUM  LASL REMAINING RESOURCES,SUM  GEN  TELEM  MW
04/15/2025 00:00:13,N,6870.85069698,9938.7044825,4406.71374567,5066.08914709,5073.23415899,0,2657.96320389,3552.88028192,1019,14686.81515
04/15/2025 00:15:12,N,6410.08964475,9553.01951229,4204.44153913,4982.47387266,4982.47387266,0,2657.24303028,3545.52931737,1019,14182.97053
04/15/2025 00:30:11,N,5971.87581491,9160.38120849,3938.1359678,4941.29290628,4970.79940271,0,2657.39113112,3565.68434143,1021,13718.76193
04/15/2025 00:45:13,N,5886.94151688,8280.55533743,3607.97112274,4944.02178955,4953.83821868,0,2683.48821893,3570.02238559,1021,13470.06608
04/15/2025 01:00:14,N,5850.85726547,8344.22554922,3617.86125183,4929.01736164,4942.34325885,0,2657.60310574,3552.06411647,1021,13398.93674
04/15/2025 01:15:12,N,5630.32006455,8357.96704083,3613.37163382,4860.72158503,4889.67855906,0,2661.80960603,3547.35464,1028,13218.47051
04/15/2025 01:30:12,N,5830.33027268,8353.47799671,3613.78659058,4870.91379213,4872.18577241,0,2674.85934946,3531.43410873,1028,13354.96532
04/15/2025 01:45:12,N,5445.33576202,8351.36993747,3614.02861982,4913.91423225,4936.61505699,0,2672.7121751,3535.15473079,1028,13190.09765
04/15/2025 02:00:13,N,5143.90774774,8425.62003705,3613.52287147,4901.83700108,4901.83700108,0,2676.02268956,3481.38932895,1028.90000009,12695.46197
04/15/2025 02:15:11,N,5131.70896077,8427.69881764,3431.67913619,4868.07731533,4868.07731533,0,2670.26510909,3479.5139555,1028.90000009,12682.066
04/15/2025 02:30:11,N,5301.84976591,8441.65563713,3435.50016771,4793.94343852,4793.94343852,0,2668.44550469,3501.16827058,1028.90000009,12771.1087
04/15/2025 02:45:11,N,5170.37020506,8435.75548235,3454.19490734,4765.98707532,4765.98707532,0,2668.38033421,3504.45964193,1028.90000009,12490.19122
04/15/2025 03:00:15,N,5729.59270109,8548.06437145,3435.10719285,4800.0650773,4800.0650773,0,2662.6658672,3515.32966041,1028.90000009,12954.51112
04/15/2025 03:15:11,N,5475.52995504,8066.76944242,3434.11563859,4865.50588321,4865.50588321,0,2666.48844941,3511.62827968,1028.90000009,13051.65072
04/15/2025 03:30:11,N,5431.29012312,8068.31200974,3434.88746629,4807.70436191,4810.75636768,0,2663.31958151,3510.03669166,1028.90000009,12852.928
04/15/2025 03:45:13,N,5504.35537295,8068.48291093,3431.86915575,4656.1254425,4693.0978713,0,2684.32899446,3520.39304161,1028.90000009,12782.94939
04/15/2025 04:00:15,N,5521.90142836,7971.8894782,3432.17057786,4395.9883027,4395.9883027,0,2662.79040293,3648.24176979,1028.90000009,12604.71843
04/15/2025 04:15:12,N,5598.79354109,7975.00245414,3432.06071458,4198.68800592,4198.68800592,0,2661.63172269,3640.91365051,1025.90000009,12481.43307
04/15/2025 04:30:13,N,5595.1386026,7970.09235473,3432.37062012,3883.10638189,3883.10638189,0,2662.10586043,3629.08457374,1027.90000009,12153.60503
04/15/2025 04:45:10,N,5596.44171845,7978.26256246,3432.22413574,3560.55997873,3560.55997873,3.54631495,2666.48858184,3626.3028655,1025.90000009,11776.54462
04/15/2025 05:00:11,N,5742.78841613,7973.63144957,3431.99595581,3379.94678068,3379.94678068,1.22906184,2684.46013798,3672.18587875,1025.90000009,11867.97147
