SCED Time Stamp,Repeated Hour Flag,SUM TELEM GEN MW,SUM TELEM DCTIE MW,AGG LOAD SUMMARY
04/15/2025 00:00:13,N,49449.75908,4.8,49444.95908
04/15/2025 00:15:12,N,47823.36693,17.1,47806.26693
04/15/2025 00:30:11,N,46989.60012,17.2,46972.40012
04/15/2025 00:45:13,N,46556.72499,17.6,46539.12499
04/15/2025 01:00:14,N,46270.94239,16.7,46254.24239
04/15/2025 01:15:12,N,45845.02949,17.8,45827.22949
04/15/2025 01:30:12,N,45194.41963,17.5,45176.91963
04/15/2025 01:45:12,N,45031.10593,17.1,45014.00593
04/15/2025 02:00:13,N,44346.02911,17.3,44328.72911
04/15/2025 02:15:11,N,44185.39564,17.7,44167.69564
04/15/2025 02:30:11,N,44085.74253,17.7,44068.04253
04/15/2025 02:45:11,N,43526.3314,17.1,43509.2314
04/15/2025 03:00:15,N,43023.53079,17.7,43005.83079
04/15/2025 03:15:11,N,43191.03557,18.1,43172.93557
04/15/2025 03:30:11,N,43137.02158,17.6,43119.42158
04/15/2025 03:45:13,N,42622.20753,17.8,42604.40753
04/15/2025 04:00:15,N,42154.35757,5.8,42148.55757
04/15/2025 04:15:12,N,42172.19931,-31.6,42203.79931
04/15/2025 04:30:13,N,42045.22476,-31.2,42076.42476
04/15/2025 04:45:10,N,41921.7215,-31.6,41953.3215
04/15/2025 05:00:11,N,42235.14446,-31.1,42266.24446
04/15/2025 05:15:11,N,42476.83923,-49.1,42525.93923
04/15/2025 05:30:11,N,42939.00843,-37.3,42976.30843
04/15/2025 05:45:10,N,43507.2575,-.1,43507.3575
04/15/2025 06:00:16,N,43975.4508,-10,43985.4508
04/15/2025 06:15:10,N,44976.43267,-35.7,45012.13267
04/15/2025 06:30:11,N,45394.42735,-71.2,45465.62735
04/15/2025 06:45:11,N,46006.21536,-70.7,46076.91536
04/15/2025 07:00:13,N,46064.33395,-102.4,46166.73395
04/15/2025 07:15:10,N,46070.65185,-120.4,46191.05185
04/15/2025 07:30:10,N,46111.00956,-120.4,46231.40956
04/15/2025 07:45:11,N,46197.54124,-107,46304.54124
04/15/2025 08:00:14,N,46315.59991,-101.1,46416.69991
04/15/2025 08:15:10,N,46739.81957,-91.1,46830.91957
04/15/2025 08:30:11,N,47718.3989,-18.9,47737.2989
04/15/2025 08:45:10,N,48202.39514,89.9,48112.49514
04/15/2025 09:00:13,N,49660.79267,198.7,49462.09267
04/15/2025 09:15:10,N,50240.8344,258.3,49982.5344
04/15/2025 09:30:11,N,49890.2873,258.5,49631.7873
04/15/2025 09:45:10,N,50408.10431,226.7,50181.40431
04/15/2025 10:00:14,N,50712.75183,155,50557.75183
04/15/2025 10:15:12,N,51868.9797,155.5,51713.4797
04/15/2025 10:30:12,N,51650.5548,155.7,51494.8548
04/15/2025 10:45:11,N,51476.5922,155.9,51320.6922
04/15/2025 11:00:18,N,51845.65837,156.9,51688.75837
04/15/2025 11:15:12,N,51836.80468,188.7,51648.10468
04/15/2025 11:30:11,N,52157.42519,232.2,51925.22519
04/15/2025 11:45:13,N,52391.94782,198.9,52193.04782
04/15/2025 12:00:19,N,51844.90893,175.2,51669.70893
04/15/2025 12:15:13,N,52298.9259,257.6,52041.3259
04/15/2025 12:30:11,N,52340.61311,253.4,52087.21311
04/15/2025 12:45:12,N,52975.33812,244.2,52731.13812
04/15/2025 13:00:17,N,53707.76254,248.8,53458.96254
04/15/2025 13:15:13,N,53298.50748,226.3,53072.20748
04/15/2025 13:30:12,N,53280.18136,155.5,53124.68136
04/15/2025 13:45:13,N,53172.24857,146.4,53025.84857
04/15/2025 14:00:15,N,53740.10434,134.8,53605.30434
04/15/2025 14:15:10,N,54205.65971,134.5,54071.15971
04/15/2025 14:30:12,N,54387.95564,134.8,54253.15564
04/15/2025 14:45:13,N,54238.33371,134.5,54103.83371
04/15/2025 15:00:14,N,54820.10706,148.5,54671.60706
04/15/2025 15:15:13,N,54421.80993,149,54272.80993
04/15/2025 15:30:11,N,54630.4655,149,54481.4655
04/15/2025 15:45:11,N,55367.17912,157.4,55209.77912
04/15/2025 16:00:15,N,55509.75567,151.6,55358.15567
04/15/2025 16:15:11,N,55749.11764,108.9,55640.21764
04/15/2025 16:30:13,N,55548.77221,109.2,55439.57221
04/15/2025 16:45:10,N,56072.7168,109.6,55963.1168
