SCED Time Stamp,Repeated Hour Flag,SUM TELEM GEN MW,SUM TELEM DCTIE MW,AGG LOAD SUMMARY
04/15/2025 00:00:13,N,7127.26989,0,7127.26989
04/15/2025 00:15:12,N,6914.22696,0,6914.22696
04/15/2025 00:30:11,N,6483.30577,0,6483.30577
04/15/2025 00:45:13,N,6289.09743,0,6289.09743
04/15/2025 01:00:14,N,6114.10143,0,6114.10143
04/15/2025 01:15:12,N,6003.11374,0,6003.11374
04/15/2025 01:30:12,N,5919.84052,0,5919.84052
04/15/2025 01:45:12,N,5761.56281,0,5761.56281
04/15/2025 02:00:13,N,5572.16409,0,5572.16409
04/15/2025 02:15:11,N,5406.52553,0,5406.52553
04/15/2025 02:30:11,N,5251.40353,0,5251.40353
04/15/2025 02:45:11,N,5127.78226,0,5127.78226
04/15/2025 03:00:15,N,5218.95971,0,5218.95971
04/15/2025 03:15:11,N,5245.49921,0,5245.49921
04/15/2025 03:30:11,N,5164.12355,0,5164.12355
04/15/2025 03:45:13,N,5157.77688,0,5157.77688
04/15/2025 04:00:15,N,5238.41643,0,5238.41643
04/15/2025 04:15:12,N,5317.52947,0,5317.52947
04/15/2025 04:30:13,N,5271.82073,0,5271.82073
04/15/2025 04:45:10,N,5229.62965,0,5229.62965
04/15/2025 05:00:11,N,5548.76374,0,5548.76374
04/15/2025 05:15:11,N,5851.08567,0,5851.08567
04/15/2025 05:30:11,N,6084.05646,0,6084.05646
04/15/2025 05:45:10,N,6516.51101,0,6516.51101
04/15/2025 06:00:16,N,6848.19697,0,6848.19697
04/15/2025 06:15:10,N,7185.34397,0,7185.34397
04/15/2025 06:30:11,N,7445.36772,0,7445.36772
04/15/2025 06:45:11,N,7860.52909,0,7860.52909
04/15/2025 07:00:13,N,7989.216,0,7989.216
04/15/2025 07:15:10,N,8244.23579,0,8244.23579
04/15/2025 07:30:10,N,8247.07729,0,8247.07729
04/15/2025 07:45:11,N,8406.5251,0,8406.5251
04/15/2025 08:00:14,N,8244.64294,0,8244.64294
04/15/2025 08:15:10,N,8181.45951,0,8181.45951
04/15/2025 08:30:11,N,8336.19792,0,8336.19792
04/15/2025 08:45:10,N,7735.99716,0,7735.99716
04/15/2025 09:00:13,N,7303.39809,0,7303.39809
04/15/2025 09:15:10,N,7577.4367,0,7577.4367
04/15/2025 09:30:11,N,7043.47879,0,7043.47879
04/15/2025 09:45:10,N,7034.87029,0,7034.87029
04/15/2025 10:00:14,N,6599.79114,0,6599.79114
04/15/2025 10:15:12,N,6956.62992,0,6956.62992
04/15/2025 10:30:12,N,6992.05746,0,6992.05746
04/15/2025 10:45:11,N,6449.93887,0,6449.93887
04/15/2025 11:00:18,N,6938.74345,0,6938.74345
04/15/2025 11:15:12,N,7161.51482,0,7161.51482
04/15/2025 11:30:11,N,7472.04316,0,7472.04316
04/15/2025 11:45:13,N,7186.98541,0,7186.98541
04/15/2025 12:00:19,N,7144.88544,0,7144.88544
04/15/2025 12:15:13,N,7182.73063,0,7182.73063
04/15/2025 12:30:11,N,7297.17305,0,7297.17305
04/15/2025 12:45:12,N,7489.5962,0,7489.5962
04/15/2025 13:00:17,N,8061.2916,0,8061.2916
04/15/2025 13:15:13,N,7960.79163,0,7960.79163
04/15/2025 13:30:12,N,8079.37213,0,8079.37213
04/15/2025 13:45:13,N,7947.3702,0,7947.3702
04/15/2025 14:00:15,N,7995.26641,0,7995.26641
04/15/2025 14:15:10,N,8053.93392,0,8053.93392
04/15/2025 14:30:12,N,7967.39986,0,7967.39986
04/15/2025 14:45:13,N,7881.92435,0,7881.92435
04/15/2025 15:00:14,N,7721.70991,0,7721.70991
04/15/2025 15:15:13,N,7588.86394,0,7588.86394
04/15/2025 15:30:11,N,7534.32023,0,7534.32023
04/15/2025 15:45:11,N,7854.17116,0,7854.17116
04/15/2025 16:00:15,N,7998.5789,0,7998.5789
04/15/2025 16:15:11,N,7948.93088,0,7948.93088
04/15/2025 16:30:13,N,7913.37424,0,7913.37424
04/15/2025 16:45:10,N,8098.51124,0,8098.51124
04/15/2025 17:00:13,N,7902.0836,0,7902.0836
04/15/2025 17:15:11,N,7971.03793,0,7971.03793
04/15/2025 17:30:09,N,8142.35022,0,8142.35022
04/15/2025 17:45:11,N,8421.0616,0,8421.0616
04/15/2025 18:00:14,N,8465.22464,0,8465.22464
04/15/2025 18:15:11,N,8502.3211,0,8502.3211
04/15/2025 18:30:10,N,8743.76833,0,8743.76833
04/15/2025 18:45:10,N,8995.92884,0,8995.92884
04/15/2025 19:00:11,N,9466.67576,0,9466.67576
04/15/2025 19:15:10,N,9914.21062,0,9914.21062
04/15/2025 19:30:11,N,10048.00666,0,10048.00666
04/15/2025 19:45:10,N,10268.14516,0,10268.14516
04/15/2025 20:00:15,N,10622.40831,0,10622.40831
04/15/2025 20:15:10,N,10602.49724,0,10602.49724
04/15/2025 20:30:11,N,10602.25516,0,10602.25516
04/15/2025 20:45:10,N,10479.26595,0,10479.26595
04/15/2025 21:00:11,N,10273.63738,0,10273.63738
04/15/2025 21:15:12,N,9795.801,0,9795.801
04/15/2025 21:30:10,N,9446.38965,0,9446.38965
04/15/2025 21:45:10,N,9035.90751,0,9035.90751
04/15/2025 22:00:15,N,8788.88899,0,8788.88899
04/15/2025 22:15:10,N,8348.93207,0,8348.93207
04/15/2025 22:30:11,N,8230.42077,0,8230.42077
04/15/2025 22:45:09,N,7731.31119,0,7731.31119
04/15/2025 23:00:12,N,7310.63408,0,7310.63408
04/15/2025 23:15:09,N,7090.65101,0,7090.65101
04/15/2025 23:30:11,N,7043.37772,0,7043.37772
04/15/2025 23:45:10,N,6767.98066,0,6767.98066
