SCED Time Stamp,Repeated Hour Flag,SUM TELEM GEN MW,SUM TELEM DCTIE MW,AGG LOAD SUMMARY
04/15/2025 00:00:13,N,13169.85627,0,13169.85627
04/15/2025 00:15:12,N,12631.42786,0,12631.42786
04/15/2025 00:30:11,N,12107.9959,0,12107.9959
04/15/2025 00:45:13,N,12102.66076,0,12102.66076
04/15/2025 01:00:14,N,12233.50523,0,12233.50523
04/15/2025 01:15:12,N,12081.47734,0,12081.47734
04/15/2025 01:30:12,N,12120.79667,0,12120.79667
04/15/2025 01:45:12,N,12081.34075,0,12081.34075
04/15/2025 02:00:13,N,12193.04958,0,12193.04958
04/15/2025 02:15:11,N,12248.77928,0,12248.77928
04/15/2025 02:30:11,N,12174.006,0,12174.006
04/15/2025 02:45:11,N,12254.83697,0,12254.83697
04/15/2025 03:00:15,N,12122.69797,0,12122.69797
04/15/2025 03:15:11,N,12020.30372,0,12020.30372
04/15/2025 03:30:11,N,12080.6905,0,12080.6905
04/15/2025 03:45:13,N,11989.82846,0,11989.82846
04/15/2025 04:00:15,N,11958.66691,0,11958.66691
04/15/2025 04:15:12,N,12018.59991,0,12018.59991
04/15/2025 04:30:13,N,12085.75581,0,12085.75581
04/15/2025 04:45:10,N,12066.91382,0,12066.91382
04/15/2025 05:00:11,N,12197.60944,0,12197.60944
04/15/2025 05:15:11,N,12219.60274,0,12219.60274
04/15/2025 05:30:11,N,12644.18129,0,12644.18129
04/15/2025 05:45:10,N,12957.63377,0,12957.63377
04/15/2025 06:00:16,N,13346.23198,0,13346.23198
04/15/2025 06:15:10,N,13810.92232,0,13810.92232
04/15/2025 06:30:11,N,14308.46208,0,14308.46208
04/15/2025 06:45:11,N,14360.77519,0,14360.77519
04/15/2025 07:00:13,N,14324.79262,0,14324.79262
04/15/2025 07:15:10,N,14670.67596,0,14670.67596
04/15/2025 07:30:10,N,15051.9359,0,15051.9359
04/15/2025 07:45:11,N,15211.08408,0,15211.08408
04/15/2025 08:00:14,N,15416.83685,0,15416.83685
04/15/2025 08:15:10,N,15275.62417,0,15275.62417
04/15/2025 08:30:11,N,15403.07436,0,15403.07436
04/15/2025 08:45:10,N,14990.34267,0,14990.34267
04/15/2025 09:00:13,N,15386.95258,0,15386.95258
04/15/2025 09:15:10,N,15086.72634,0,15086.72634
04/15/2025 09:30:11,N,14722.19421,0,14722.19421
04/15/2025 09:45:10,N,14883.2768,0,14883.2768
04/15/2025 10:00:14,N,15135.52805,0,15135.52805
04/15/2025 10:15:12,N,15924.77629,0,15924.77629
04/15/2025 10:30:12,N,15665.25022,0,15665.25022
04/15/2025 10:45:11,N,15812.21284,0,15812.21284
04/15/2025 11:00:18,N,16154.75922,0,16154.75922
04/15/2025 11:15:12,N,16261.92268,0,16261.92268
04/15/2025 11:30:11,N,16355.10667,0,16355.10667
04/15/2025 11:45:13,N,16390.71475,0,16390.71475
04/15/2025 12:00:19,N,16803.96745,0,16803.96745
04/15/2025 12:15:13,N,16979.20546,0,16979.20546
04/15/2025 12:30:11,N,17171.81096,0,17171.81096
04/15/2025 12:45:12,N,17317.79662,0,17317.79662
04/15/2025 13:00:17,N,17461.61675,0,17461.61675
04/15/2025 13:15:13,N,17306.98877,0,17306.98877
04/15/2025 13:30:12,N,17109.5527,0,17109.5527
04/15/2025 13:45:13,N,17105.37518,0,17105.37518
04/15/2025 14:00:15,N,17167.48011,0,17167.48011
04/15/2025 14:15:10,N,17074.63808,0,17074.63808
04/15/2025 14:30:12,N,17441.3588,0,17441.3588
04/15/2025 14:45:13,N,17399.56704,0,17399.56704
04/15/2025 15:00:14,N,17665.92024,0,17665.92024
04/15/2025 15:15:13,N,17779.48037,0,17779.48037
04/15/2025 15:30:11,N,18006.74639,0,18006.74639
04/15/2025 15:45:11,N,18314.58793,0,18314.58793
04/15/2025 16:00:15,N,18207.01991,0,18207.01991
04/15/2025 16:15:11,N,18338.49694,0,18338.49694
04/15/2025 16:30:13,N,18266.25319,0,18266.25319
04/15/2025 16:45:10,N,18511.74695,0,18511.74695
04/15/2025 17:00:13,N,18446.08873,0,18446.08873
04/15/2025 17:15:11,N,17913.11121,0,17913.11121
04/15/2025 17:30:09,N,18023.39714,0,18023.39714
04/15/2025 17:45:11,N,17847.45834,0,17847.45834
04/15/2025 18:00:14,N,17247.35521,0,17247.35521
04/15/2025 18:15:11,N,16733.59736,0,16733.59736
04/15/2025 18:30:10,N,17076.42524,0,17076.42524
04/15/2025 18:45:10,N,17085.41502,0,17085.41502
04/15/2025 19:00:11,N,17116.68562,0,17116.68562
04/15/2025 19:15:10,N,16804.07488,0,16804.07488
04/15/2025 19:30:11,N,16697.3287,0,16697.3287
04/15/2025 19:45:10,N,16618.5075,0,16618.5075
04/15/2025 20:00:15,N,16783.34822,0,16783.34822
04/15/2025 20:15:10,N,17176.89423,0,17176.89423
04/15/2025 20:30:11,N,17119.15999,0,17119.15999
04/15/2025 20:45:10,N,17200.59608,0,17200.59608
04/15/2025 21:00:11,N,17143.79832,0,17143.79832
04/15/2025 21:15:12,N,17307.24732,0,17307.24732
04/15/2025 21:30:10,N,16813.2321,0,16813.2321
04/15/2025 21:45:10,N,16470.42235,0,16470.42235
04/15/2025 22:00:15,N,16035.42206,0,16035.42206
04/15/2025 22:15:10,N,15287.03828,0,15287.03828
04/15/2025 22:30:11,N,14708.6694,0,14708.6694
04/15/2025 22:45:09,N,14269.02959,0,14269.02959
04/15/2025 23:00:12,N,13891.26986,0,13891.26986
04/15/2025 23:15:09,N,13639.24499,0,13639.24499
04/15/2025 23:30:11,N,13297.61863,0,13297.61863
04/15/2025 23:45:10,N,12905.87509,0,12905.87509
