SCED Time Stamp,Repeated Hour Flag,SUM TELEM GEN MW,SUM TELEM DCTIE MW,AGG LOAD SUMMARY
04/15/2025 00:00:13,N,14686.81515,68.2,14618.61515
04/15/2025 00:15:12,N,14182.97053,69.2,14113.77053
04/15/2025 00:30:11,N,13718.76193,69.1,13649.66193
04/15/2025 00:45:13,N,13470.06608,69.5,13400.56608
04/15/2025 01:00:14,N,13398.93674,68.7,13330.23674
04/15/2025 01:15:12,N,13218.47051,69.6,13148.87051
04/15/2025 01:30:12,N,13354.96532,69.4,13285.56532
04/15/2025 01:45:12,N,13190.09765,69.1,13120.99765
04/15/2025 02:00:13,N,12695.46197,69.4,12626.06197
04/15/2025 02:15:11,N,12682.066,69.9,12612.166
04/15/2025 02:30:11,N,12771.1087,69.8,12701.3087
04/15/2025 02:45:11,N,12490.52122,69.2,12421.32122
04/15/2025 03:00:15,N,12954.51112,69.7,12884.81112
04/15/2025 03:15:11,N,13051.69143,69.9,12981.79143
04/15/2025 03:30:11,N,12852.97869,69.6,12783.37869
04/15/2025 03:45:13,N,12782.97513,69.8,12713.17513
04/15/2025 04:00:15,N,12604.74417,69.9,12534.84417
04/15/2025 04:15:12,N,12481.46879,69.2,12412.26879
04/15/2025 04:30:13,N,12153.64075,69.5,12084.14075
04/15/2025 04:45:10,N,11776.58533,69.1,11707.48533
04/15/2025 05:00:11,N,11868.00719,69.8,11798.20719
04/15/2025 05:15:11,N,11951.76165,51.5,11900.26165
04/15/2025 05:30:11,N,12320.02678,51.5,12268.52678
04/15/2025 05:45:10,N,12566.27828,52,12514.27828
04/15/2025 06:00:16,N,12837.65623,42,12795.65623
04/15/2025 06:15:10,N,13338.60911,29.6,13309.00911
04/15/2025 06:30:11,N,13387.60451,29.5,13358.10451
04/15/2025 06:45:11,N,13444.88431,29.9,13414.98431
04/15/2025 07:00:13,N,13264.50765,11.6,13252.90765
04/15/2025 07:15:10,N,12785.00069,4.5,12780.50069
04/15/2025 07:30:10,N,12671.53619,4.8,12666.73619
04/15/2025 07:45:11,N,12369.04218,4.6,12364.44218
04/15/2025 08:00:14,N,11898.53711,4.3,11894.23711
04/15/2025 08:15:10,N,11652.47843,4.6,11647.87843
04/15/2025 08:30:11,N,11074.9068,4.5,11070.4068
04/15/2025 08:45:10,N,11141.35882,4.6,11136.75882
04/15/2025 09:00:13,N,11412.95855,4.3,11408.65855
04/15/2025 09:15:10,N,11404.30999,34.6,11369.70999
04/15/2025 09:30:11,N,11592.17176,34.9,11557.27176
04/15/2025 09:45:10,N,11032.30487,34.5,10997.80487
04/15/2025 10:00:14,N,10549.22918,34.3,10514.92918
04/15/2025 10:15:12,N,10859.48763,34.4,10825.08763
04/15/2025 10:30:12,N,10985.33647,34.8,10950.53647
04/15/2025 10:45:11,N,11120.75844,34.6,11086.15844
04/15/2025 11:00:18,N,11377.0153,34.4,11342.6153
04/15/2025 11:15:12,N,11511.81669,34.3,11477.51669
04/15/2025 11:30:11,N,11489.42178,34.9,11454.52178
04/15/2025 11:45:13,N,11851.15638,34.3,11816.85638
04/15/2025 12:00:19,N,11781.44152,34.4,11747.04152
04/15/2025 12:15:13,N,12160.16161,34.4,12125.76161
04/15/2025 12:30:11,N,12265.0667,34.7,12230.3667
04/15/2025 12:45:12,N,12532.60033,34.3,12498.30033
