SCED Time Stamp,Repeated Hour Flag,SUM TELEM GEN MW,SUM TELEM DCTIE MW,AGG LOAD SUMMARY
04/15/2025 00:00:13,N,14465.81777,-63.4,14529.21777
04/15/2025 00:15:12,N,14094.74158,-52.1,14146.84158
04/15/2025 00:30:11,N,14679.53652,-51.9,14731.43652
04/15/2025 00:45:13,N,14694.90072,-51.9,14746.80072
04/15/2025 01:00:14,N,14524.39899,-52,14576.39899
04/15/2025 01:15:12,N,14541.9679,-51.8,14593.7679
04/15/2025 01:30:12,N,13798.81712,-51.9,13850.71712
04/15/2025 01:45:12,N,13998.10472,-52,14050.10472
04/15/2025 02:00:13,N,13885.35347,-52.1,13937.45347
04/15/2025 02:15:11,N,13848.02483,-52.2,13900.22483
04/15/2025 02:30:11,N,13889.2243,-52.1,13941.3243
04/15/2025 02:45:11,N,13653.19095,-52.1,13705.29095
04/15/2025 03:00:15,N,12727.36199,-52,12779.36199
04/15/2025 03:15:11,N,12873.54121,-51.8,12925.34121
04/15/2025 03:30:11,N,13039.22884,-52,13091.22884
04/15/2025 03:45:13,N,12691.62706,-52,12743.62706
04/15/2025 04:00:15,N,12352.53006,-64.1,12416.63006
04/15/2025 04:15:12,N,12354.60114,-100.8,12455.40114
04/15/2025 04:30:13,N,12534.00747,-100.7,12634.70747
04/15/2025 04:45:10,N,12848.5927,-100.7,12949.2927
04/15/2025 05:00:11,N,12620.76409,-100.9,12721.66409
04/15/2025 05:15:11,N,12454.38917,-100.6,12554.98917
04/15/2025 05:30:11,N,11890.7439,-88.8,11979.5439
04/15/2025 05:45:10,N,11466.83444,-52.1,11518.93444
04/15/2025 06:00:16,N,10943.36562,-52,10995.36562
04/15/2025 06:15:10,N,10641.55727,-65.3,10706.85727
04/15/2025 06:30:11,N,10252.99304,-100.7,10353.69304
04/15/2025 06:45:11,N,10340.02677,-100.6,10440.62677
04/15/2025 07:00:13,N,10485.81768,-114,10599.81768
04/15/2025 07:15:10,N,10370.73941,-124.9,10495.63941
04/15/2025 07:30:10,N,10140.46018,-125.2,10265.66018
