SCED Time Stamp,Repeated Hour Flag,SUM LSL OUTPUT SCHEDULE,SUM HSL OUTPUT SCHEDULE,SUM OUTPUTSCHEDULE
04/15/2025 00:00:13,N,3339.10000324,13525.31935879,2937.69169871
04/15/2025 00:15:12,N,3340.80000019,13518.65025016,2940.9017541
04/15/2025 00:30:11,N,3343.80000019,13528.67571207,2941.80750384
04/15/2025 00:45:13,N,3344.80000019,13559.29775243,2943.60120146
04/15/2025 01:00:14,N,3492.45464801,13987.13196933,3298.99090528
04/15/2025 01:15:12,N,3493.75465106,13972.65831124,3300.49432784
04/15/2025 01:30:12,N,3493.75465106,13955.13552337,3300.23987802
04/15/2025 01:45:12,N,3494.75620746,13961.32442003,3298.90268717
04/15/2025 02:00:13,N,3349.00000333,13858.41400057,3029.9996674
04/15/2025 02:15:11,N,3347.50000333,13884.49826785,3030.38825599
04/15/2025 02:30:11,N,3351.50000333,13915.09698784,3031.21078203
04/15/2025 02:45:11,N,3351.50000333,13921.30913264,3040.1884914
04/15/2025 03:00:15,N,3351.50000333,13460.46115475,2960.0005555
04/15/2025 03:15:11,N,3351.50000333,13454.7342289,2965.79356465
04/15/2025 03:30:11,N,3352.50000333,13454.19380742,2965.68755878
04/15/2025 03:45:13,N,3351.50000333,13463.46935969,2962.31278178
04/15/2025 04:00:15,N,3351.50000333,14214.86530417,2969.91966876
04/15/2025 04:15:12,N,3351.50000333,14210.10062688,2968.09117081
04/15/2025 04:30:13,N,3352.50000333,14196.74666707,2964.69290764
04/15/2025 04:45:10,N,3348.50000333,14191.01738629,2964.19360184
04/15/2025 05:00:11,N,3349.50000333,14430.43884953,3033.3005919
04/15/2025 05:15:11,N,3349.50000333,14425.67420085,3029.50950256
04/15/2025 05:30:11,N,3347.50000333,14418.12013572,3029.29325709
04/15/2025 05:45:10,N,3347.50000333,14419.20990667,3031.70706824
04/15/2025 06:00:16,N,3347.50000333,15712.63235857,3056.51303573
04/15/2025 06:15:10,N,3349.60000181,15720.23520503,3064.40954266
04/15/2025 06:30:11,N,3344.60000181,15716.95394937,3053.90380955
04/15/2025 06:45:11,N,3343.60000181,15702.87108235,3054.68782749
04/15/2025 07:00:13,N,3349.60000181,15597.28403224,3342.52606897
04/15/2025 07:15:10,N,3344.62065578,15598.32118573,3350.30463276
04/15/2025 07:30:10,N,3348.22021615,15580.74808464,3348.81924556
04/15/2025 07:45:11,N,3348.60839104,15511.52700623,3349.78701478
04/15/2025 08:00:14,N,3400.60000181,14906.69272702,4294.26007843
04/15/2025 08:15:10,N,3394.50000333,14948.50101535,4310.12142364
04/15/2025 08:30:11,N,3399.50000333,14989.97517992,4378.32977919
04/15/2025 08:45:10,N,3398.50000333,14950.80711793,4385.28629792
04/15/2025 09:00:13,N,3333.50000333,14686.10054257,4692.4001575
04/15/2025 09:15:10,N,3332.39999723,14586.86000645,4621.42530128
04/15/2025 09:30:11,N,3330.39999723,14600.38186484,4683.63151964
04/15/2025 09:45:10,N,3329.39999723,14699.1388188,4742.45442622
04/15/2025 10:00:14,N,3326.39999723,13689.82848829,3069.91031999
04/15/2025 10:15:12,N,3322.00000333,13879.62948536,3149.22966879
04/15/2025 10:30:12,N,3322.00000333,13943.97475636,3243.3741563
04/15/2025 10:45:11,N,3324.00000333,14038.82050275,3270.40080404
04/15/2025 11:00:18,N,3319.00000333,14076.48685365,3316.50348563
04/15/2025 11:15:12,N,3315.49999952,13998.90027236,3230.61676735
04/15/2025 11:30:11,N,3318.49999952,14115.51877808,3355.13910326
04/15/2025 11:45:13,N,3317.49999952,14161.50349569,3368.70105051
04/15/2025 12:00:19,N,3314.49999952,14061.67545771,3223.54224967
04/15/2025 12:15:13,N,3309.70000028,14051.34606814,3206.27310466
04/15/2025 12:30:11,N,3313.70000028,14121.75476384,3193.51730782
