SCED Time Stamp,Repeated Hour Flag,SUM LSL OUTPUT SCHEDULE,SUM HSL OUTPUT SCHEDULE,SUM OUTPUTSCHEDULE
04/15/2025 00:00:13,N,1384.30000305,3804.5039978,260.4
04/15/2025 00:15:12,N,1386,3809.70399475,261.9
04/15/2025 00:30:11,N,1387,3809.90399456,261.7
04/15/2025 00:45:13,N,1388,3884.40398979,264.2
04/15/2025 01:00:14,N,1388,4030.50399446,264.1
04/15/2025 01:15:12,N,1386.30000305,4028.0039978,263.7
04/15/2025 01:30:12,N,1386.30000305,4028.0039978,263.1
04/15/2025 01:45:12,N,1386.30000305,4029.65399742,261.3
04/15/2025 02:00:13,N,1388.30000305,4123.20399761,273.2
04/15/2025 02:15:11,N,1386.80000305,4121.60399913,272.3
04/15/2025 02:30:11,N,1390.80000305,4125.60399913,274.1
04/15/2025 02:45:11,N,1390.80000305,4125.60399913,282.1
04/15/2025 03:00:15,N,1390.80000305,4073.10000133,272.8
04/15/2025 03:15:11,N,1390.80000305,4071.85000133,277.2
04/15/2025 03:30:11,N,1391.80000305,4072.85000133,277.8
04/15/2025 03:45:13,N,1390.80000305,4071.85000133,273.6
04/15/2025 04:00:15,N,1390.80000305,4185.10399913,270.9
04/15/2025 04:15:12,N,1393.80000305,4188.10399913,271.1
04/15/2025 04:30:13,N,1392.80000305,4187.10399913,266.9
04/15/2025 04:45:10,N,1390.80000305,4185.10399913,266.7
04/15/2025 05:00:11,N,1391.80000305,4526.60399913,271
04/15/2025 05:15:11,N,1388.80000305,4523.60399913,266
04/15/2025 05:30:11,N,1386.80000305,4525.35399937,265.2
04/15/2025 05:45:10,N,1386.80000305,4525.35399937,267.6
04/15/2025 06:00:16,N,1386.80000305,4544.75399899,270.9
04/15/2025 06:15:10,N,1388.90000152,4546.95399594,278.4
04/15/2025 06:30:11,N,1386.90000152,4544.95399594,269.5
04/15/2025 06:45:11,N,1385.90000152,4543.95399594,270.7
04/15/2025 07:00:13,N,1391.90000152,4640.05399632,440.9
04/15/2025 07:15:10,N,1386.90000152,4635.05399632,446.7
04/15/2025 07:30:10,N,1386.90000152,4611.45399785,437.3
