SCED Time Stamp,Repeated Hour Flag,SUM LSL OUTPUT SCHEDULE,SUM HSL OUTPUT SCHEDULE,SUM OUTPUTSCHEDULE
04/15/2025 00:00:13,N,458,3195.66663742,8.8
04/15/2025 00:15:12,N,458,3195.07764434,8.8
04/15/2025 00:30:11,N,458,3195.66663742,8.8
04/15/2025 00:45:13,N,458,3195.67163848,8.8
04/15/2025 01:00:14,N,605.65464782,3465.66624069,256.2
04/15/2025 01:15:12,N,605.65464782,3464.91625213,256.2
04/15/2025 01:30:12,N,605.65464782,3464.94924926,256.2
04/15/2025 01:45:12,N,606.65620422,3464.98924636,256.2
04/15/2025 02:00:13,N,458,3195.0346527,1.8
04/15/2025 02:15:11,N,458,3195.06064987,1.8
04/15/2025 02:30:11,N,458,3195.75663834,1.8
04/15/2025 02:45:11,N,458,3198.26247192,1.8
04/15/2025 03:00:15,N,458,3195.22564697,1.8
04/15/2025 03:15:11,N,458,3195.25665283,1.8
04/15/2025 03:30:11,N,458,3195.32464218,1.8
04/15/2025 03:45:13,N,458,3195.34664154,1.8
04/15/2025 04:00:15,N,458,3205.04464244,1.9
04/15/2025 04:15:12,N,458,3204.9956541,1.9
04/15/2025 04:30:13,N,458,3204.89900515,1.9
04/15/2025 04:45:10,N,458,3204.9166607,1.9
04/15/2025 05:00:11,N,458,3423.77117791,91.8
04/15/2025 05:15:11,N,458,3421.81852974,91.8
04/15/2025 05:30:11,N,458,3417.20016324,91.8
04/15/2025 05:45:10,N,458,3418.81952384,91.8
04/15/2025 06:00:16,N,458,3847.11336978,92.8
04/15/2025 06:15:10,N,458,3846.59225947,92.8
04/15/2025 06:30:11,N,458,3845.59752087,92.8
04/15/2025 06:45:11,N,458,3837.0405678,92.8
04/15/2025 07:00:13,N,458,3796.09874604,165.6262364
04/15/2025 07:15:10,N,458,3791.27821992,166.98226226
04/15/2025 07:30:10,N,458,3792.17668722,172.1991472
04/15/2025 07:45:11,N,458,3766.66191037,174.35945237
04/15/2025 08:00:14,N,514,3701.42086344,206.54993464
04/15/2025 08:15:10,N,514,3700.70914631,209.50652979
04/15/2025 08:30:11,N,514,3762.26138092,216.11164247
04/15/2025 08:45:10,N,514,3759.25820755,216.53228712
04/15/2025 09:00:13,N,458,3922.10545256,919.43184605
04/15/2025 09:15:10,N,458,3817.04423081,855.14193002
04/15/2025 09:30:11,N,458,3893.35095316,942.91233991
04/15/2025 09:45:10,N,458,3945.75953179,992.909808
04/15/2025 10:00:14,N,458,3373.80922096,18.41160498
04/15/2025 10:15:12,N,458,3535.28871703,82.8512783
04/15/2025 10:30:12,N,458,3532.90177392,153.87525582
04/15/2025 10:45:11,N,458,3528.75206732,151.99909982
04/15/2025 11:00:18,N,458,3504.27940535,171.41589617
04/15/2025 11:15:12,N,458,3442.80903792,114.41589617
04/15/2025 11:30:11,N,458,3502.48861861,177.51589617
04/15/2025 11:45:13,N,458,3498.46267867,172.61589617
04/15/2025 12:00:19,N,458,3452.15946578,150.97323398
04/15/2025 12:15:13,N,458,3452.41084766,150.88014259
04/15/2025 12:30:11,N,458,3448.93717098,142.98862361
04/15/2025 12:45:12,N,458,3455.61172962,147.70391349
04/15/2025 13:00:17,N,458,3404.31108283,163.43939952
04/15/2025 13:15:13,N,458,3400.89423465,160.75076517
04/15/2025 13:30:12,N,458,3393.31460499,12.80695824
04/15/2025 13:45:13,N,458,3394.61558103,16.92283296
04/15/2025 14:00:15,N,458,3399.80636787,160.16777651
04/15/2025 14:15:10,N,458,3405.01848506,171.73447176
04/15/2025 14:30:12,N,490.1015625,3405.98064899,175.80014428
04/15/2025 14:45:13,N,545,3490.30143404,95.85694036
04/15/2025 15:00:14,N,545,3600.65956783,227.75077781
04/15/2025 15:15:13,N,545,3603.58212375,227.4121394
04/15/2025 15:30:11,N,545,3598.74707317,226.0705194
04/15/2025 15:45:11,N,545,3565.71541595,225.24571094
04/15/2025 16:00:15,N,544.70117187,3590.93157196,259.04419927
04/15/2025 16:15:11,N,545,3588.62880945,261.53419952
04/15/2025 16:30:13,N,545,3586.02498912,259.63534317
04/15/2025 16:45:10,N,545,3580.89140272,256.83802156
04/15/2025 17:00:13,N,545,3530.57010269,269.15103149
04/15/2025 17:15:11,N,545,3527.4246006,264.52972774
04/15/2025 17:30:09,N,545,3544.48007965,279.14339008
04/15/2025 17:45:11,N,544.62890625,3539.61729121,148.73985753
04/15/2025 18:00:14,N,544.89257812,3618.295403,422.94493799
04/15/2025 18:15:11,N,608,3613.26954555,403.83087291
04/15/2025 18:30:10,N,608,3589.71358251,384.46470327
04/15/2025 18:45:10,N,608,3568.99969124,364.23851015
04/15/2025 19:00:11,N,973,4437.00113582,815.47142009
04/15/2025 19:15:10,N,973,4418.64980387,800.25386362
04/15/2025 19:30:11,N,973,4402.182217,790.73847618
04/15/2025 19:45:10,N,973,4392.78833591,788.08968994
04/15/2025 20:00:15,N,608,3735.02575743,471.32530922
04/15/2025 20:15:10,N,608,3734.09198532,471.32679362
04/15/2025 20:30:11,N,608,3733.28779654,471.32441396
04/15/2025 20:45:10,N,608,3721.67764472,463.7
04/15/2025 21:00:11,N,608,3762.28317617,1151.66987079
04/15/2025 21:15:12,N,608,3727.13062849,1200.8
04/15/2025 21:30:10,N,608,3713.84585604,1200.8
04/15/2025 21:45:10,N,608,3687.47143864,1200.8
04/15/2025 22:00:15,N,608,3487.54293575,604.1
04/15/2025 22:15:10,N,608,3482.56164836,453.2
04/15/2025 22:30:11,N,608,3478.26343423,453.2
04/15/2025 22:45:09,N,608,3480.08864879,453.2
04/15/2025 23:00:12,N,608,3524.4325483,87.2
04/15/2025 23:15:09,N,608,3525.41712195,87.2
04/15/2025 23:30:11,N,608,3523.54511296,87.2
04/15/2025 23:45:10,N,608,3542.75924492,87.2
