SCED Time Stamp,Repeated Hour Flag,SUM LSL OUTPUT SCHEDULE,SUM HSL OUTPUT SCHEDULE,SUM OUTPUTSCHEDULE
04/15/2025 00:00:13,N,1368.80000019,5006.13672494,2668.3
04/15/2025 00:15:12,N,1368.80000019,5000.0166068,2670
04/15/2025 00:30:11,N,1370.80000019,5020.20808029,2671.1
04/15/2025 00:45:13,N,1370.80000019,5022.64612293,2670.4
04/15/2025 01:00:14,N,1370.80000019,4813.40373516,2709.6
04/15/2025 01:15:12,N,1373.80000019,4804.9970625,2711.5
04/15/2025 01:30:12,N,1373.80000019,4788.23727798,2711.8
04/15/2025 01:45:12,N,1373.80000019,4791.86817836,2712.3
04/15/2025 02:00:13,N,1374.70000028,4767.08035087,2694.2
04/15/2025 02:15:11,N,1374.70000028,4787.13861981,2695.5
04/15/2025 02:30:11,N,1374.70000028,4808.94435167,2694.5
04/15/2025 02:45:11,N,1374.70000028,4812.65066289,2695.5
04/15/2025 03:00:15,N,1374.70000028,4771.93750953,2669
04/15/2025 03:15:11,N,1374.70000028,4767.82957744,2670.4
04/15/2025 03:30:11,N,1374.70000028,4766.22116661,2669.7
04/15/2025 03:45:13,N,1374.70000028,4776.87471961,2670.5
04/15/2025 04:00:15,N,1374.70000028,5004.3916645,2666.5
04/15/2025 04:15:12,N,1371.70000028,4997.08597564,2664.5
04/15/2025 04:30:13,N,1373.70000028,4985.23166465,2665.3
04/15/2025 04:45:10,N,1371.70000028,4982.28172826,2665
04/15/2025 05:00:11,N,1371.70000028,5064.85167312,2662.3
04/15/2025 05:15:11,N,1374.70000028,5065.44667243,2663.5
04/15/2025 05:30:11,N,1374.70000028,5059.61397361,2664.1
04/15/2025 05:45:10,N,1374.70000028,5061.82438409,2664.1
04/15/2025 06:00:16,N,1374.70000028,5327.2629888,2673.3
04/15/2025 06:15:10,N,1374.70000028,5329.33094835,2673.7
04/15/2025 06:30:11,N,1371.70000028,5325.85443162,2672.1
04/15/2025 06:45:11,N,1371.70000028,5321.33851766,2671.7
04/15/2025 07:00:13,N,1371.70000028,4974.80328893,2735.5
04/15/2025 07:15:10,N,1371.72065425,4984.86296869,2736.12065397
04/15/2025 07:30:10,N,1375.32021462,4993.48939406,2738.82021434
04/15/2025 07:45:11,N,1375.70838952,4972.48309335,2740.73786039
04/15/2025 08:00:14,N,1374.70000028,4862.48086649,3006.91736892
04/15/2025 08:15:10,N,1368.70000028,4884.39686787,3026.21061415
04/15/2025 08:30:11,N,1373.70000028,4944.76879811,3079.91893229
04/15/2025 08:45:10,N,1373.70000028,4955.69890499,3093.32811374
04/15/2025 09:00:13,N,1367.70000028,5229.79908776,3133.06831145
04/15/2025 09:15:10,N,1365.70000028,5234.92477273,3132.68337125
04/15/2025 09:30:11,N,1365.70000028,5176.08690929,3107.31917972
04/15/2025 09:45:10,N,1365.70000028,5214.58128452,3117.64461822
04/15/2025 10:00:14,N,1366.70000028,4968.62326359,2739.298715
04/15/2025 10:15:12,N,1364.70000028,4993.69376325,2754.06759061
04/15/2025 10:30:12,N,1364.70000028,5013.63097941,2781.29890048
04/15/2025 10:45:11,N,1366.70000028,5108.62943267,2806.20170421
04/15/2025 11:00:18,N,1364.70000028,5179.03804546,2873.48758945
