DeliveryDate,HourEnding,SettlementPoint,SettlementPointPrice,DSTFlag
04/18/2025,01:00,7RNCHSLR_ALL, 24.07,N
04/18/2025,01:00,ABINDUST_RN, 11.77,N
04/18/2025,01:00,ADL_RN, 25.01,N
04/18/2025,01:00,AEEC, -13.9,N
04/18/2025,01:00,AE_RN, 24.83,N
04/18/2025,01:00,AGUAYO_UNIT1, 13.4,N
04/18/2025,01:00,AJAXWIND_RN, -11.76,N
04/18/2025,01:00,ALGOD_ALL_RN, 12.67,N
04/18/2025,01:00,ALP_BESS_RN, 117.95,N
04/18/2025,01:00,ALVIN_RN, 24.91,N
04/18/2025,01:00,AMADEUS_ALL, 1.14,N
04/18/2025,01:00,AMISTAD_ALL, 43.95,N
04/18/2025,01:00,AMOCOOIL_CC1, 24.94,N
04/18/2025,01:00,AMOCOOIL_CC2, 24.94,N
04/18/2025,01:00,AMOCO_PUN1, 24.94,N
04/18/2025,01:00,AMOCO_PUN2, 24.94,N
04/18/2025,01:00,AMO_AMOCO_1, 24.94,N
04/18/2025,01:00,AMO_AMOCO_2, 24.94,N
04/18/2025,01:00,AMO_AMOCO_5, 24.94,N
04/18/2025,01:00,AMO_AMOCO_G1, 24.94,N
04/18/2025,01:00,AMO_AMOCO_G2, 24.94,N
04/18/2025,01:00,AMO_AMOCO_G3, 24.94,N
04/18/2025,01:00,AMO_AMOCO_S1, 24.94,N
04/18/2025,01:00,AMO_AMOCO_S2, 24.94,N
04/18/2025,01:00,ANACACHO_ANA, 40.44,N
04/18/2025,01:00,ANCHOR_ALL, 4.94,N
04/18/2025,01:00,ANDMDSLR_ALL, 0.39,N
04/18/2025,01:00,ANEM_ESS_RN, -16.2,N
04/18/2025,01:00,ANG_ALL, 11.58,N
04/18/2025,01:00,ANOL_ESS_RN, 27.55,N
04/18/2025,01:00,ANSON1_ALL, 2.67,N
04/18/2025,01:00,ANTL_ESS_ES1, -6.92,N
04/18/2025,01:00,APPALOSA_ALL, 31.33,N
04/18/2025,01:00,AQUI_ALL, 23.98,N
04/18/2025,01:00,ARAGORN_RN, 60.51,N
04/18/2025,01:00,ASCK_SLR_RN, 23.98,N
04/18/2025,01:00,ASTRA_RN, -15.97,N
04/18/2025,01:00,ATK_ATKINSG7, 25.18,N
04/18/2025,01:00,AURO_SLR_RN, 24.13,N
04/18/2025,01:00,AUSTPL_ALL, 23.77,N
04/18/2025,01:00,AVIAT_ALL, 8.46,N
04/18/2025,01:00,AVIL_ESS_RN, 56.87,N
04/18/2025,01:00,AZSP_SLR_RN, 26.81,N
04/18/2025,01:00,AZURE_RN, 4.94,N
04/18/2025,01:00,AZ_ALL, 25,N
04/18/2025,01:00,BAC_RN_ALL, 24.94,N
04/18/2025,01:00,BAFFIN_ALL, -6.19,N
04/18/2025,01:00,BAIRDWND_ALL, 4.94,N
04/18/2025,01:00,BAKE_RN_ALL, 24.94,N
04/18/2025,01:00,BARROW_ALL, 65.4,N
04/18/2025,01:00,BASTEN_CC1, 23.95,N
04/18/2025,01:00,BASTEN_CCU, 23.95,N
04/18/2025,01:00,BATCAVE_RN, 23.7,N
04/18/2025,01:00,BAYC_BESS_RN, 24.14,N
04/18/2025,01:00,BBREEZE_1_2, -15,N
04/18/2025,01:00,BCATWD_WD_1, -40.04,N
04/18/2025,01:00,BCH_RN, 24.83,N
04/18/2025,01:00,BCK_RN, 24.87,N
04/18/2025,01:00,BCNV_RN, 24.91,N
04/18/2025,01:00,BELM_SLR_RN, 23.8,N
04/18/2025,01:00,BEXAR_ES_RN, 25.12,N
04/18/2025,01:00,BIGSTAR_ALL, 23.98,N
04/18/2025,01:00,BKSL_RN, -7.31,N
04/18/2025,01:00,BLACKJAK_RN, 12.25,N
04/18/2025,01:00,BLSMT1_5_A_6, -10.06,N
04/18/2025,01:00,BLUEJAY_RN, 25.27,N
04/18/2025,01:00,BLVN_RN, 23.84,N
04/18/2025,01:00,BOARDCRK_ALL, 26.26,N
