DeliveryDate,HourEnding,SettlementPoint,SettlementPointPrice,DSTFlag
04/15/2025,01:00,7RNCHSLR_ALL, 25.22,N
04/15/2025,01:00,ABINDUST_RN, 26.05,N
04/15/2025,01:00,ADL_RN, 25.35,N
04/15/2025,01:00,AEEC, 22.07,N
04/15/2025,01:00,AE_RN, 25.34,N
04/15/2025,01:00,AGUAYO_UNIT1, 24.45,N
04/15/2025,01:00,AJAXWIND_RN, 22.27,N
04/15/2025,01:00,ALGOD_ALL_RN, 18.86,N
04/15/2025,01:00,ALP_BESS_RN, 47.66,N
04/15/2025,01:00,ALVIN_RN, 25.36,N
04/15/2025,01:00,AMADEUS_ALL, 23.42,N
04/15/2025,01:00,AMISTAD_ALL, 38.22,N
04/15/2025,01:00,AMOCOOIL_CC1, 25.35,N
04/15/2025,01:00,AMOCOOIL_CC2, 25.35,N
04/15/2025,01:00,AMOCO_PUN1, 25.35,N
04/15/2025,01:00,AMOCO_PUN2, 25.35,N
04/15/2025,01:00,AMO_AMOCO_1, 25.35,N
04/15/2025,01:00,AMO_AMOCO_2, 25.35,N
04/15/2025,01:00,AMO_AMOCO_5, 25.35,N
04/15/2025,01:00,AMO_AMOCO_G1, 25.35,N
04/15/2025,01:00,AMO_AMOCO_G2, 25.35,N
04/15/2025,01:00,AMO_AMOCO_G3, 25.35,N
04/15/2025,01:00,AMO_AMOCO_S1, 25.35,N
04/15/2025,01:00,AMO_AMOCO_S2, 25.35,N
04/15/2025,01:00,ANACACHO_ANA, 35.52,N
04/15/2025,01:00,ANCHOR_ALL, 23.58,N
04/15/2025,01:00,ANDMDSLR_ALL, 23.38,N
04/15/2025,01:00,ANEM_ESS_RN, -1.37,N
04/15/2025,01:00,ANG_ALL, 23.51,N
04/15/2025,01:00,ANOL_ESS_RN, 25.93,N
04/15/2025,01:00,ANSON1_ALL, 23.52,N
04/15/2025,01:00,ANTL_ESS_ES1, 36.28,N
04/15/2025,01:00,APPALOSA_ALL, 47.68,N
04/15/2025,01:00,AQUI_ALL, 25.14,N
04/15/2025,01:00,ARAGORN_RN, 48.52,N
04/15/2025,01:00,ASCK_SLR_RN, 25.14,N
04/15/2025,01:00,ASTRA_RN, 22.2,N
04/15/2025,01:00,ATK_ATKINSG7, 25.34,N
04/15/2025,01:00,AURO_SLR_RN, 25.18,N
04/15/2025,01:00,AUSTPL_ALL, 25.15,N
04/15/2025,01:00,AVIAT_ALL, 22.43,N
04/15/2025,01:00,AVIL_ESS_RN, 47.72,N
04/15/2025,01:00,AZSP_SLR_RN, 25.74,N
04/15/2025,01:00,AZURE_RN, 23.53,N
04/15/2025,01:00,AZ_ALL, 25.35,N
04/15/2025,01:00,BAC_RN_ALL, 25.35,N
04/15/2025,01:00,BAFFIN_ALL, 10.89,N
04/15/2025,01:00,BAIRDWND_ALL, 23.58,N
04/15/2025,01:00,BAKE_RN_ALL, 25.37,N
04/15/2025,01:00,BARROW_ALL, 47.25,N
04/15/2025,01:00,BASTEN_CC1, 25.15,N
04/15/2025,01:00,BASTEN_CCU, 25.15,N
04/15/2025,01:00,BATCAVE_RN, 24.77,N
04/15/2025,01:00,BAYC_BESS_RN, 23.55,N
04/15/2025,01:00,BBREEZE_1_2, 7.45,N
04/15/2025,01:00,BCATWD_WD_1, -1.96,N
04/15/2025,01:00,BCH_RN, 25.34,N
04/15/2025,01:00,BCK_RN, 25.46,N
04/15/2025,01:00,BCNV_RN, 25.36,N
04/15/2025,01:00,BELM_SLR_RN, 25.17,N
04/15/2025,01:00,BEXAR_ES_RN, 25.69,N
04/15/2025,01:00,BIGSTAR_ALL, 25.14,N
04/15/2025,01:00,BKSL_RN, 22.63,N
04/15/2025,01:00,BLACKJAK_RN, 18.73,N
04/15/2025,01:00,BLSMT1_5_A_6, 22.19,N
04/15/2025,01:00,BLUEJAY_RN, 25.36,N
04/15/2025,01:00,BLVN_RN, 25.17,N
04/15/2025,01:00,BOARDCRK_ALL, 25.43,N
04/15/2025,01:00,BOCO_ESS_RN, 21.02,N
04/15/2025,01:00,BOOTLEG_UN1, 47.61,N
04/15/2025,01:00,BORDAS_345, -7.63,N
04/15/2025,01:00,BOSQUESW_CC1, 25.12,N
04/15/2025,01:00,BOSQUESW_CC2, 25.14,N
04/15/2025,01:00,BOSQ_BSQSU_5, 25.14,N
04/15/2025,01:00,BOSQ_BSQS_12, 25.14,N
04/15/2025,01:00,BOSQ_BSQS_34, 25.12,N
04/15/2025,01:00,BRANDON_RN, 21.88,N
04/15/2025,01:00,BRAUNIG_CC1, 24.94,N
04/15/2025,01:00,BRAUNIG_VHB1, 25.44,N
04/15/2025,01:00,BRAUNIG_VHB2, 25.44,N
04/15/2025,01:00,BRAUNIG_VHB3, 25.49,N
04/15/2025,01:00,BRAZ_WND_ALL, 25.31,N
04/15/2025,01:00,BRA_AVR1_CT2, 24.94,N
04/15/2025,01:00,BRA_AVR_CST1, 24.94,N
04/15/2025,01:00,BRHEIGHT_RN, 25.35,N
04/15/2025,01:00,BRIGHTSD_RN, 24.92,N
04/15/2025,01:00,BRIGHTSD_U1, 24.73,N
04/15/2025,01:00,BRISCOE_WIND, 22.26,N
04/15/2025,01:00,BRPANGLE_RN, 25.32,N
04/15/2025,01:00,BRPMAGNO_RN, 25.35,N
04/15/2025,01:00,BRP_BRAZ_RN, 25.31,N
04/15/2025,01:00,BRP_DIKN_RN, 25.35,N
04/15/2025,01:00,BRP_LOOP_RN, 25.11,N
04/15/2025,01:00,BRP_LOP1_RN, -0.24,N
04/15/2025,01:00,BRP_PBL1_RN, 38.09,N
04/15/2025,01:00,BRP_PBL2_RN, 38.09,N
04/15/2025,01:00,BRP_RN_UNIT1, 25.35,N
04/15/2025,01:00,BRP_SWNY_RN, 25.3,N
04/15/2025,01:00,BRP_ZPT1_RN, -0.55,N
04/15/2025,01:00,BRP_ZPT2_RN, -0.56,N
04/15/2025,01:00,BRTSW_BCW1, 21.95,N
04/15/2025,01:00,BR_ARROW_ALL, 25.62,N
04/15/2025,01:00,BR_VHB6CT5_6, 25.44,N
04/15/2025,01:00,BR_VHB6CT7_8, 25.44,N
04/15/2025,01:00,BSS_U1, 25.3,N
04/15/2025,01:00,BTE_BTE_G1, 25.35,N
04/15/2025,01:00,BTE_BTE_G2, 25.35,N
04/15/2025,01:00,BTE_BTE_G3, 25.35,N
04/15/2025,01:00,BTE_BTE_G4, 25.35,N
04/15/2025,01:00,BTE_CC1, 25.35,N
04/15/2025,01:00,BTE_PUN1, 25.35,N
04/15/2025,01:00,BTE_PUN2, 25.35,N
04/15/2025,01:00,BTM_ALL, 25.35,N
04/15/2025,01:00,BUCHAN_ALL, 25.54,N
04/15/2025,01:00,BUCKTHRN_RN, 24.72,N
04/15/2025,01:00,BUFF_GAP_ALL, 23.83,N
04/15/2025,01:00,BULLCRK_1_2, 26.22,N
04/15/2025,01:00,BVE_CC1, 25.4,N
04/15/2025,01:00,BVE_UNIT1, 25.4,N
04/15/2025,01:00,BVE_UNIT2, 25.4,N
04/15/2025,01:00,BVE_UNIT3, 25.4,N
04/15/2025,01:00,BYRDR_ES_ALL, 25.3,N
04/15/2025,01:00,BYU_BYU_1, 25.35,N
04/15/2025,01:00,BYU_BYU_12, 25.35,N
04/15/2025,01:00,BYU_BYU_34, 25.35,N
04/15/2025,01:00,BYU_CC1, 25.35,N
04/15/2025,01:00,BYU_G4_RN, 25.35,N
04/15/2025,01:00,BYU_PUN1, 25.35,N
04/15/2025,01:00,BYU_PUN2, 25.35,N
04/15/2025,01:00,BYU_PUN3, 25.35,N
04/15/2025,01:00,BYU_PUN4, 25.35,N
04/15/2025,01:00,B_DAVIS_3, 19.05,N
04/15/2025,01:00,B_DAVIS_4, 19.05,N
04/15/2025,01:00,B_DAVIS_CC1, 19.05,N
04/15/2025,01:00,B_D_B_DAVIG1, 19.05,N
04/15/2025,01:00,B_D_B_DAVIG2, 19.05,N
04/15/2025,01:00,CABEZON_ALL, -4.18,N
04/15/2025,01:00,CACH_ESS_RN, 25.17,N
04/15/2025,01:00,CALAVER_JKS1, 24.81,N
04/15/2025,01:00,CALAVER_JKS2, 24.81,N
04/15/2025,01:00,CALAVER_JTD1, 25.44,N
04/15/2025,01:00,CALAVER_JTD2, 25.44,N
04/15/2025,01:00,CALAVER_OWS1, 25.45,N
04/15/2025,01:00,CALAVER_OWS2, 25.45,N
04/15/2025,01:00,CALHOUN_ALL, 24.44,N
04/15/2025,01:00,CALLAHA_WND1, 25.66,N
04/15/2025,01:00,CAL_CALGT1, 25.35,N
04/15/2025,01:00,CAL_CALSTG1, 25.35,N
04/15/2025,01:00,CAL_CC1, 25.35,N
04/15/2025,01:00,CAL_PUN1, 25.35,N
04/15/2025,01:00,CAL_PUN2, 25.35,N
04/15/2025,01:00,CAMWIND_RN, 7.99,N
04/15/2025,01:00,CANYONWD_ALL, 23.27,N
04/15/2025,01:00,CAPRIDG4_CR4, 22.43,N
04/15/2025,01:00,CAPRIDGE_ALL, 22.43,N
04/15/2025,01:00,CARBN_BSP_1, 39.65,N
04/15/2025,01:00,CARN_ESS_RN, 19.01,N
04/15/2025,01:00,CARRIZO_ESR1, 37.78,N
04/15/2025,01:00,CASL_GAP_UN1, 47.36,N
04/15/2025,01:00,CATARINA_B1, 38.41,N
04/15/2025,01:00,CBECII_89, 25.51,N
04/15/2025,01:00,CBECII_CC3, 25.51,N
04/15/2025,01:00,CBECII_CT7, 25.51,N
04/15/2025,01:00,CBEC_ALL, 23.49,N
04/15/2025,01:00,CBEC_CC1, 23.49,N
04/15/2025,01:00,CBEC_CC2, 23.49,N
04/15/2025,01:00,CBY4_ALL, 25.35,N
04/15/2025,01:00,CBY4_CC1, 25.35,N
04/15/2025,01:00,CBY_CBY_G1, 25.35,N
04/15/2025,01:00,CBY_CBY_G2, 25.35,N
04/15/2025,01:00,CCEC_CC1, 19.05,N
04/15/2025,01:00,CCEC_GT1, 19.05,N
04/15/2025,01:00,CCEC_GT2, 19.05,N
04/15/2025,01:00,CCEC_PUN1, 19.05,N
04/15/2025,01:00,CCEC_PUN2, 19.05,N
04/15/2025,01:00,CCEC_ST1, 19.05,N
04/15/2025,01:00,CEDROHI_CHW1, -23.72,N
04/15/2025,01:00,CEDRVALE_RN, 48.41,N
04/15/2025,01:00,CFLATS_UNIT, 14.19,N
04/15/2025,01:00,CHALUP_ALL, 7.18,N
04/15/2025,01:00,CHAL_SLR_RN, 48.56,N
04/15/2025,01:00,CHAMON_UN1, 25.35,N
04/15/2025,01:00,CHAMON_UN2, 25.35,N
04/15/2025,01:00,CHEDPW_GT2, 25.35,N
04/15/2025,01:00,CHE_CC1, 25.35,N
04/15/2025,01:00,CHE_LYD, 25.35,N
04/15/2025,01:00,CHE_LYD2, 25.35,N
04/15/2025,01:00,CHE_PUN1, 25.35,N
04/15/2025,01:00,CHE_PUN2, 25.35,N
04/15/2025,01:00,CHIL_SLR, 25.2,N
04/15/2025,01:00,CHISMGRD_RN, 24.16,N
04/15/2025,01:00,CISC_RN, 27.72,N
04/15/2025,01:00,CITRUSCY_RN, 9.08,N
04/15/2025,01:00,CITYVICT_ALL, 25.12,N
04/15/2025,01:00,CLO_RN, 25.36,N
04/15/2025,01:00,CMPD_SLR_RN, 25.26,N
04/15/2025,01:00,CNLY_ESS_RN, 13.27,N
04/15/2025,01:00,CNTRY_RN, 25.22,N
04/15/2025,01:00,CN_BRKS_UNT1, 22.21,N
04/15/2025,01:00,COL_COLETOG1, 20.51,N
04/15/2025,01:00,CONIGLIO_RN, 25.25,N
04/15/2025,01:00,CONTINEN_RN, 8.8,N
04/15/2025,01:00,CORALSLR_ALL, 25.24,N
04/15/2025,01:00,CORAZON_RN, -9.26,N
04/15/2025,01:00,COTPLNS_RN, 22.42,N
04/15/2025,01:00,COTTON_PAP2, 19,N
04/15/2025,01:00,COTULLA_RN, 41.5,N
04/15/2025,01:00,COYOTSPR_AGR, 48.41,N
04/15/2025,01:00,COYOTSPR_RN, 48.41,N
04/15/2025,01:00,CPSES_UNIT1, 24.72,N
04/15/2025,01:00,CPSES_UNIT2, 24.72,N
04/15/2025,01:00,CRANELL_ALL, 18.73,N
04/15/2025,01:00,CRAWFISH_RN, 22.65,N
04/15/2025,01:00,CROSSETT_ALL, 47.33,N
04/15/2025,01:00,CROSSTRL_RN, 27.2,N
04/15/2025,01:00,CRWN_SLR_UN1, 25.18,N
04/15/2025,01:00,CR_RN, 25.35,N
