DELIVERY_DATE,HOUR_ENDING,SYSTEM_WIDE_GEN,COP_HSL_SYSTEM_WIDE,STWPF_SYSTEM_WIDE,WGRPP_SYSTEM_WIDE,GEN_PANHANDLE,COP_HSL_PANHANDLE,STWPF_PANHANDLE,WGRPP_PANHANDLE,GEN_COASTAL,COP_HSL_COASTAL,STWPF_COASTAL,WGRPP_COASTAL,GEN_SOUTH,COP_HSL_SOUTH,STWPF_SOUTH,WGRPP_SOUTH,GEN_WEST,COP_HSL_WEST,STWPF_WEST,WGRPP_WEST,GEN_NORTH,COP_HSL_NORTH,STWPF_NORTH,WGRPP_NORTH,SYSTEM_WIDE_HSL,DSTFlag
04/08/2025,18,9850.44,9906.7,11223.5,10306.2,1480.97,2380.2,2601.2,2481.3,1603.54,1042.6,1505.6,1363,17.26,106.9,38,4.7,6440.75,6011.7,6754.9,6204.5,307.92,365.3,323.8,252.7,11179.92,N
04/08/2025,19,11557.03,11788.2,12599.7,11619.9,1755.02,2210.3,2557.3,2432.5,2061.17,1621.3,2024.9,1867.4,81.99,208.5,120.3,69,7305.72,7267.5,7535.5,6961.1,353.13,480.6,361.7,289.9,12537.34,N
04/08/2025,20,12859.07,14277,13266.2,12242.1,1849.05,2184.5,1971.2,1845.7,2188.86,2034,2220.7,2061.3,292.7,462.8,265.3,188.6,7845.23,8813.6,8158.9,7582.4,683.23,782.1,650.1,564.1,12994.75,N
04/08/2025,21,17375.32,17802.5,17212,16077.6,1928.54,2451.2,1962.6,1829.2,2176.93,2107.8,2166.2,1995.8,1404.83,963.9,1263.7,1149.4,10423.26,11059.8,10436.9,9818.2,1441.76,1219.8,1382.6,1285,16880.15,N
04/08/2025,22,21925.12,20960.8,22952.6,21838.9,2041.11,2571.3,2683,2553.1,2160.76,2225.2,2206.2,2041.2,2398.24,1580.8,2483.3,2371.4,13207.22,12788.2,13503.5,12893.6,2117.79,1795.3,2076.6,1979.6,22653.52,N
04/08/2025,23,24220.94,24041.9,26110.7,25027.4,2283.85,2939.3,3237.8,3111.2,2096.41,2318,2100.1,1939.2,2768.55,2456.2,2837.9,2729.4,14749.91,14061.1,15509,14915.6,2322.22,2267.3,2425.9,2332,26116.57,N
04/08/2025,24,24819.43,26170.9,27785.8,26696.7,2373.62,3450.5,3566.7,3434.5,2156.18,2300.8,2174.8,2014.2,2815.1,2762.6,2904.3,2795.6,15106.62,15124.2,16553.5,15959.9,2367.91,2532.8,2586.5,2492.5,27868.76,N
04/09/2025,01,25012.49,27258,28183.3,27087.8,2448.92,3589.4,3586.5,3453.5,1994.04,2216.3,2036.2,1874.3,2727.28,2776.1,2769,2659.1,15386.38,16026.6,17117.5,16521.4,2455.87,2649.6,2674.1,2579.5,28338.92,N
04/09/2025,02,24840.84,27314.4,28123.5,27026.1,2447.42,3526.4,3640.8,3507.6,1773.88,2142.4,1802.3,1640.5,2754.54,2733.2,2762.5,2652.6,15431.91,16191.7,17265.2,16667.7,2433.09,2720.7,2652.7,2557.7,28379.79,N
04/09/2025,03,24197.57,26789.2,28026.2,26926.1,2458.36,3512,3797.7,3664.6,1440.35,1788.2,1472.8,1310.8,2646.42,2507.3,2637.4,2527.3,15253.1,16277.1,17471.3,16871.3,2399.34,2704.6,2647,2552.1,28317.8,N
04/09/2025,04,23932.35,26382.8,27918.3,26819.6,2500.79,3526.7,3878.3,3745,1275.81,1496.3,1264.7,1103.1,2627.02,2427.3,2611.5,2501.8,15113.99,16256.7,17524.7,16925.5,2414.74,2675.8,2639.1,2544.2,28228.29,N
04/09/2025,05,23768.97,25981.2,27685.6,26590.1,2436.99,3511,3827.9,3694.9,1357.28,1305.1,1316.3,1154.9,2549.9,2347.8,2557,2447.9,15067.44,16178,17333.7,16736.3,2357.36,2639.3,2650.7,2556.1,28086.13,N
04/09/2025,06,24079.55,25663.2,27396.1,26304.5,2443.26,3387.2,3686.6,3554.5,1616.35,1241.9,1586.9,1426,2571.03,2386.4,2562.7,2453.6,15210.02,16018.7,16933.9,16338.6,2238.89,2629,2626,2531.8,27697.96,N
04/09/2025,07,24548.8,25686.1,27368.5,26276.6,2345.66,3270.6,3477.4,3344.9,1803.7,1420.6,1748.1,1587,2659.48,2449.3,2654.9,2545.9,15473.03,15940.7,16854.6,16259.8,2266.93,2604.9,2633.5,2539,27679.46,N
04/09/2025,08,24689.33,25846,27612.8,26519.9,2473.37,3293.7,3539.5,3406.4,1995.91,1666.3,1993.3,1831.8,2774.86,2482,2775.1,2666,15218.01,15813.7,16668.5,16073.7,2227.18,2590.3,2636.4,2542,27974.75,N
04/09/2025,09,22487.96,24769.9,26752,25664.4,2231.12,3096,3443.2,3310.2,1681.7,1546.9,1777.8,1619,2599.63,2291.1,2723.8,2614.5,13892.36,15248.7,16220.4,15628.3,2083.15,2587.2,2586.8,2492.4,27145.5,N
04/09/2025,10,19964,23483.7,23563.3,22462.3,1969.25,2787.8,3096.7,2962.2,1095.83,1475.8,1158.3,994.8,2156.36,2077.6,2182.1,2071.3,12734.96,14602.8,14663.1,14066.3,2007.6,2539.7,2463.1,2367.7,24055.79,N
04/09/2025,11,19128.6,22452.6,23289.8,22184.6,1910.97,2852.8,3306.6,3170.6,1642.63,1566.6,2024.7,1858.6,2199.33,2033.8,2298.4,2186,11401.82,13500,13211.5,12617.9,1973.85,2499.4,2448.6,2351.5,23477.13,N
04/09/2025,12,17380.28,20451.8,21218.2,20075,1869.94,3004.7,3288.4,3147.1,1548.12,1492.3,1926.2,1754.7,1921.74,1875,2056.4,1939.5,10086.99,11621,11522.5,10909.9,1953.49,2458.8,2424.7,2323.8,21697.28,N
04/09/2025,13,14870.66,18760.9,18351.6,17202.1,1395.52,3042.1,3258,3116.7,1380.82,1718.3,1419.7,1248.3,1538.02,1734.3,1600.5,1484.1,8351.44,9829.5,9704.6,9085.1,2204.86,2436.7,2368.8,2267.9,18817.48,N
04/09/2025,14,12500.7,15512.2,15242.4,14138.7,1338.99,2905.5,3184.5,3048.5,1173.72,1360.5,1230.8,1066,1201.12,1433.2,1308.5,1196.6,6452.04,7440.7,7161.3,6567.1,2334.83,2372.3,2357.3,2260.5,15641.54,N
