DeliveryDate,HourEnding,SettlementPoint,SettlementPointPrice,DSTFlag
04/11/2025,01:00,7RNCHSLR_ALL, 31.61,N
04/11/2025,01:00,ABINDUST_RN, 34.62,N
04/11/2025,01:00,ADL_RN, 30.77,N
04/11/2025,01:00,AEEC, 21.58,N
04/11/2025,01:00,AE_RN, 30.8,N
04/11/2025,01:00,AGUAYO_UNIT1, 31.69,N
04/11/2025,01:00,AJAXWIND_RN, 27.77,N
04/11/2025,01:00,ALGOD_ALL_RN, 27.03,N
04/11/2025,01:00,ALP_BESS_RN, 102.61,N
04/11/2025,01:00,ALVIN_RN, 31.12,N
04/11/2025,01:00,AMADEUS_ALL, 26.67,N
04/11/2025,01:00,AMISTAD_ALL, 47.85,N
04/11/2025,01:00,AMOCOOIL_CC1, 30.89,N
04/11/2025,01:00,AMOCOOIL_CC2, 30.89,N
04/11/2025,01:00,AMOCO_PUN1, 30.89,N
04/11/2025,01:00,AMOCO_PUN2, 30.89,N
04/11/2025,01:00,AMO_AMOCO_1, 30.89,N
04/11/2025,01:00,AMO_AMOCO_2, 30.89,N
04/11/2025,01:00,AMO_AMOCO_5, 30.89,N
04/11/2025,01:00,AMO_AMOCO_G1, 30.89,N
04/11/2025,01:00,AMO_AMOCO_G2, 30.89,N
04/11/2025,01:00,AMO_AMOCO_G3, 30.89,N
04/11/2025,01:00,AMO_AMOCO_S1, 30.89,N
04/11/2025,01:00,AMO_AMOCO_S2, 30.89,N
04/11/2025,01:00,ANACACHO_ANA, 43.83,N
04/11/2025,01:00,ANCHOR_ALL, 26.67,N
04/11/2025,01:00,ANDMDSLR_ALL, 26.59,N
04/11/2025,01:00,ANEM_ESS_RN, 20.36,N
04/11/2025,01:00,ANG_ALL, 33.58,N
04/11/2025,01:00,ANOL_ESS_RN, 29.92,N
04/11/2025,01:00,ANSON1_ALL, 26.26,N
04/11/2025,01:00,ANTL_ESS_ES1, 47.84,N
04/11/2025,01:00,APPALOSA_ALL, 51.07,N
04/11/2025,01:00,AQUI_ALL, 30.49,N
04/11/2025,01:00,ARAGORN_RN, 48.29,N
04/11/2025,01:00,ASCK_SLR_RN, 30.49,N
04/11/2025,01:00,ASTRA_RN, 24.37,N
04/11/2025,01:00,ATK_ATKINSG7, 30.71,N
04/11/2025,01:00,AURO_SLR_RN, 31.02,N
04/11/2025,01:00,AUSTPL_ALL, 31.75,N
04/11/2025,01:00,AVIAT_ALL, 33.4,N
04/11/2025,01:00,AVIL_ESS_RN, 47.64,N
04/11/2025,01:00,AZSP_SLR_RN, 30.08,N
04/11/2025,01:00,AZURE_RN, 27.11,N
04/11/2025,01:00,AZ_ALL, 30.78,N
04/11/2025,01:00,BAC_RN_ALL, 30.84,N
04/11/2025,01:00,BAFFIN_ALL, 24.45,N
04/11/2025,01:00,BAIRDWND_ALL, 26.67,N
04/11/2025,01:00,BAKE_RN_ALL, 29.76,N
04/11/2025,01:00,BARROW_ALL, 53.51,N
04/11/2025,01:00,BASTEN_CC1, 31.74,N
04/11/2025,01:00,BASTEN_CCU, 31.74,N
04/11/2025,01:00,BATCAVE_RN, 32.21,N
04/11/2025,01:00,BAYC_BESS_RN, 31.06,N
04/11/2025,01:00,BBREEZE_1_2, 22.9,N
04/11/2025,01:00,BCATWD_WD_1, 19.84,N
04/11/2025,01:00,BCH_RN, 30.8,N
04/11/2025,01:00,BCK_RN, 30.59,N
04/11/2025,01:00,BCNV_RN, 31.12,N
04/11/2025,01:00,BELM_SLR_RN, 31.07,N
04/11/2025,01:00,BEXAR_ES_RN, 33.25,N
04/11/2025,01:00,BIGSTAR_ALL, 31.81,N
04/11/2025,01:00,BKSL_RN, 25.49,N
04/11/2025,01:00,BLACKJAK_RN, 27.14,N
04/11/2025,01:00,BLSMT1_5_A_6, 26.79,N
04/11/2025,01:00,BLUEJAY_RN, 30.68,N
04/11/2025,01:00,BLVN_RN, 31.02,N
04/11/2025,01:00,BOARDCRK_ALL, 30.32,N
04/11/2025,01:00,BOCO_ESS_RN, 10.79,N
04/11/2025,01:00,BOOTLEG_UN1, 45.63,N
04/11/2025,01:00,BORDAS_345, 17.17,N
04/11/2025,01:00,BOSQUESW_CC1, 30.66,N
04/11/2025,01:00,BOSQUESW_CC2, 30.7,N
04/11/2025,01:00,BOSQ_BSQSU_5, 30.7,N
04/11/2025,01:00,BOSQ_BSQS_12, 30.7,N
04/11/2025,01:00,BOSQ_BSQS_34, 30.66,N
04/11/2025,01:00,BRANDON_RN, 20.16,N
04/11/2025,01:00,BRAUNIG_CC1, 32.78,N
04/11/2025,01:00,BRAUNIG_VHB1, 32.76,N
04/11/2025,01:00,BRAUNIG_VHB2, 32.76,N
04/11/2025,01:00,BRAUNIG_VHB3, 32.89,N
04/11/2025,01:00,BRAZ_WND_ALL, 35.9,N
04/11/2025,01:00,BRA_AVR1_CT2, 32.78,N
04/11/2025,01:00,BRA_AVR_CST1, 32.78,N
04/11/2025,01:00,BRHEIGHT_RN, 30.89,N
04/11/2025,01:00,BRIGHTSD_RN, 31.54,N
04/11/2025,01:00,BRIGHTSD_U1, 31.23,N
04/11/2025,01:00,BRISCOE_WIND, 24.94,N
04/11/2025,01:00,BRPANGLE_RN, 30.8,N
04/11/2025,01:00,BRPMAGNO_RN, 30.91,N
04/11/2025,01:00,BRP_BRAZ_RN, 30.81,N
04/11/2025,01:00,BRP_DIKN_RN, 30.91,N
04/11/2025,01:00,BRP_LOOP_RN, 31.7,N
04/11/2025,01:00,BRP_LOP1_RN, 10.57,N
04/11/2025,01:00,BRP_PBL1_RN, 44.56,N
04/11/2025,01:00,BRP_PBL2_RN, 44.56,N
04/11/2025,01:00,BRP_RN_UNIT1, 33.05,N
04/11/2025,01:00,BRP_SWNY_RN, 30.81,N
04/11/2025,01:00,BRP_ZPT1_RN, 9.78,N
04/11/2025,01:00,BRP_ZPT2_RN, 9.77,N
04/11/2025,01:00,BRTSW_BCW1, 30.75,N
04/11/2025,01:00,BR_ARROW_ALL, 29.8,N
04/11/2025,01:00,BR_VHB6CT5_6, 32.76,N
04/11/2025,01:00,BR_VHB6CT7_8, 32.76,N
04/11/2025,01:00,BSS_U1, 30.81,N
04/11/2025,01:00,BTE_BTE_G1, 30.77,N
04/11/2025,01:00,BTE_BTE_G2, 30.77,N
04/11/2025,01:00,BTE_BTE_G3, 30.77,N
04/11/2025,01:00,BTE_BTE_G4, 30.77,N
04/11/2025,01:00,BTE_CC1, 30.77,N
04/11/2025,01:00,BTE_PUN1, 30.77,N
04/11/2025,01:00,BTE_PUN2, 30.77,N
04/11/2025,01:00,BTM_ALL, 30.8,N
04/11/2025,01:00,BUCHAN_ALL, 32.14,N
04/11/2025,01:00,BUCKTHRN_RN, 30.41,N
04/11/2025,01:00,BUFF_GAP_ALL, 31.91,N
04/11/2025,01:00,BULLCRK_1_2, 77.31,N
04/11/2025,01:00,BVE_CC1, 30.49,N
04/11/2025,01:00,BVE_UNIT1, 30.49,N
04/11/2025,01:00,BVE_UNIT2, 30.49,N
04/11/2025,01:00,BVE_UNIT3, 30.49,N
04/11/2025,01:00,BYRDR_ES_ALL, 30.81,N
04/11/2025,01:00,BYU_BYU_1, 30.81,N
04/11/2025,01:00,BYU_BYU_12, 30.81,N
04/11/2025,01:00,BYU_BYU_34, 30.81,N
