SCEDTimestamp,RepeatedHourFlag,SettlementPoint,LMP
12/01/2010 01:10:23,N,AMISTAD_ALL,22.31
12/01/2010 01:10:23,N,AMOCOOIL_CC1,21.67
12/01/2010 01:10:23,N,AMOCOOIL_CC2,21.67
12/01/2010 01:10:23,N,AMOCO_PUN1,21.67
12/01/2010 01:10:23,N,AMOCO_PUN2,21.67
12/01/2010 01:10:23,N,AMO_AMOCO_1,21.67
12/01/2010 01:10:23,N,AMO_AMOCO_2,21.67
12/01/2010 01:10:23,N,AMO_AMOCO_5,21.67
12/01/2010 01:10:23,N,AMO_AMOCO_G1,21.67
12/01/2010 01:10:23,N,AMO_AMOCO_G2,21.67
12/01/2010 01:10:23,N,AMO_AMOCO_G3,21.67
12/01/2010 01:10:23,N,AMO_AMOCO_S1,21.67
12/01/2010 01:10:23,N,AMO_AMOCO_S2,21.67
12/01/2010 01:10:23,N,APD_APD_G1,21.67
12/01/2010 01:10:23,N,ATK_ATKG345,21.66
12/01/2010 01:10:23,N,ATK_ATKINSG6,21.66
12/01/2010 01:10:23,N,ATK_ATKINSG7,21.66
12/01/2010 01:10:23,N,AUSTPL_ALL,21.68
12/01/2010 01:10:23,N,AZ_ALL,21.67
12/01/2010 01:10:23,N,BASTEN_CC1,21.68
12/01/2010 01:10:23,N,BASTEN_CCU,21.68
12/01/2010 01:10:23,N,BBSES_UNIT1,21.65
12/01/2010 01:10:23,N,BBSES_UNIT2,21.65
12/01/2010 01:10:23,N,BOSQUESW_CC1,21.64
12/01/2010 01:10:23,N,BOSQUESW_CC2,21.65
12/01/2010 01:10:23,N,BOSQ_BSQSU_1,21.65
12/01/2010 01:10:23,N,BOSQ_BSQSU_2,21.65
12/01/2010 01:10:23,N,BOSQ_BSQSU_3,21.64
12/01/2010 01:10:23,N,BOSQ_BSQSU_4,21.64
12/01/2010 01:10:23,N,BOSQ_BSQSU_5,21.65
12/01/2010 01:10:23,N,BRAUNIG_CC1,21.7
12/01/2010 01:10:23,N,BRAUNIG_VHB1,21.7
12/01/2010 01:10:23,N,BRAUNIG_VHB2,21.7
12/01/2010 01:10:23,N,BRAUNIG_VHB3,21.7
12/01/2010 01:10:23,N,BRAZ_WND_ALL,14.88
12/01/2010 01:10:23,N,BRA_AVR1_CT2,21.7
12/01/2010 01:10:23,N,BRA_AVR_CST1,21.7
