DELIVERY_DATE,HOUR_ENDING,SYSTEM_WIDE_GEN,COP_HSL_SYSTEM_WIDE,STPPF_SYSTEM_WIDE,PVGRPP_SYSTEM_WIDE,SYSTEM_WIDE_HSL,DSTFlag
04/08/2025,18,23464.7,23370.4,24169.2,23590.9,25889.93,N
04/08/2025,19,16393.16,15511.6,15954,15326.2,19241.98,N
04/08/2025,20,3337.12,3048.4,3499.6,3162.7,5257.96,N
04/08/2025,21,17.06,12.7,17.1,15.9,84.48,N
04/08/2025,22,1.21,0,0,0,6.05,N
04/08/2025,23,24.35,0,0,0,32.87,N
04/08/2025,24,1.18,0,0,0,12.62,N
04/09/2025,01,0.21,0,0,0,12.36,N
04/09/2025,02,0.23,0,0,0,12.36,N
04/09/2025,03,0.3,0,0,0,17.16,N
04/09/2025,04,0.35,0,0,0,18.82,N
04/09/2025,05,0.3,0,0,0,20.26,N
04/09/2025,06,0.24,0,0,0,14.32,N
04/09/2025,07,0.34,0,0,0,7.17,N
04/09/2025,08,1676.37,1478.3,1575.9,1499.1,999.65,N
04/09/2025,09,10889.91,14314.6,14464.4,14032.4,12222.02,N
04/09/2025,10,15808.8,24804.6,24825.9,24508.9,23779.14,N
04/09/2025,11,16130.79,25673.3,25478.6,25203.4,25735.06,N
04/09/2025,12,17189.05,26098.7,24970.9,24485.4,25875.64,N
04/09/2025,13,20171.12,26278.1,25096.4,24568.8,26311.7,N
04/09/2025,14,22882.01,25655.3,25640.9,25191.6,26557.75,N
04/09/2025,15,25121.03,25232.5,25783.2,25396.4,26713.67,N
04/09/2025,16,25631.62,24894.5,25941.5,25533.1,26897.23,N
04/09/2025,17,24872.75,24488,25835.6,25358.5,26746.1,N
04/09/2025,18,23697.83,22910.9,24005.5,23488.2,25685.39,N
04/09/2025,19,16978.37,15213.1,15799.6,15235.9,19341.34,N
04/09/2025,20,3532.47,3061.9,3580,3248.7,5456.49,N
04/09/2025,21,17.15,12.5,19.7,18.2,101.87,N
04/09/2025,22,0.52,0,0,0,0.54,N
04/09/2025,23,0.29,0,0,0,0.42,N
04/09/2025,24,0.16,0,0,0,0.28,N
04/10/2025,01,0.17,0,0,0,0.28,N
04/10/2025,02,0.17,0,0,0,0.24,N
04/10/2025,03,0.28,0,0,0,0.25,N
04/10/2025,04,0.29,0,0,0,0.28,N
04/10/2025,05,0.29,0,0,0,0.28,N
04/10/2025,06,0.28,0,0,0,0.26,N
04/10/2025,07,0.44,0,0,0,0.27,N
04/10/2025,08,1892.95,1447.7,1557.7,1481.1,1073.14,N
04/10/2025,09,14934.45,13413.2,14398.7,13879.8,12654.26,N
04/10/2025,10,24181,23231.7,25580.6,25147.9,23854.9,N
04/10/2025,11,25291.03,24551,25603.6,25284.6,25685.27,N
04/10/2025,12,25675.88,25500.3,25144.7,24586.7,26129.3,N
04/10/2025,13,26247.07,25672.6,25496.6,24951.6,26631.43,N
04/10/2025,14,26407.86,25062.2,26025.4,25544.9,26822.75,N
04/10/2025,15,26442.02,24961.5,25957,25522.4,26745.77,N
04/10/2025,16,26474.8,24735,25784.1,25329.7,26798.65,N
04/10/2025,17,25895.52,24457.5,25305.5,24766.3,26578.14,N
04/10/2025,18,,22614.7,23358.8,22795.2,,N
04/10/2025,19,,14606.2,14997,13462.6,,N
04/10/2025,20,,2954.3,3094.9,1498.7,,N
04/10/2025,21,,14.9,16.2,8.7,,N
04/10/2025,22,,0,0,0,,N
04/10/2025,23,,0,0,0,,N
04/10/2025,24,,0,0,0,,N
04/11/2025,01,,0,0,0,,N
04/11/2025,02,,0,0,0,,N
04/11/2025,03,,0,0,0,,N
04/11/2025,04,,0,0,0,,N
04/11/2025,05,,0,0,0,,N
04/11/2025,06,,0,0,0,,N
04/11/2025,07,,0,0,0,,N
04/11/2025,08,,1533,1558.2,1154.9,,N
04/11/2025,09,,13135.5,13309.2,10320.6,,N
04/11/2025,10,,23292,23646.7,19010.7,,N
04/11/2025,11,,24908,25211.4,21376.1,,N
04/11/2025,12,,25980.5,26256.2,22224,,N
04/11/2025,13,,26416.1,26715.4,22953.8,,N
04/11/2025,14,,25944.8,26202.8,23146.4,,N
04/11/2025,15,,25879.8,26150.9,23300.6,,N
04/11/2025,16,,25749.7,26033.3,23018.4,,N
04/11/2025,17,,25251,25561.7,21885.3,,N
04/11/2025,18,,23257.6,23681.8,19463.4,,N
04/11/2025,19,,15190.4,15891.5,11710,,N
04/11/2025,20,,3037.3,3174.3,1522,,N
04/11/2025,21,,20.2,22.1,12.7,,N
